sourceWord	targetWord	minSource	maxSource	minTarget	maxTarget
again	再び 	come again tomorrow.	if you care about someone, you'll become friends! if you care about each other, you'll become many times stronger! and your bravery will be unlimited! in this world are many unpleasant things, many sad things, and many that, which you can't handle by yourself. but while you have people you care about, you just can't fall! you just cannot surrender! while you have those people, about which you care, you will stand up again and again! that's why hero is absolutely undefeatable!	ではまた明日。	大切だと思えば友達になれる！　互いを思えば、何倍でも強くなれる！　無限に根性が湧いてくる！　世界には嫌なことも、悲しいことも、 自分だけではどうにもならないこともたくさんある。 だけど、大好きな人がいれば、くじけるわけがない。あきらめるわけがない。 大好きな人がいるのだから、何度でも立ち上がる！　だから、勇者は絶対、負けないんだ！
at the end of	の終わりに 	tom is at the end of the line.	the swimmer, cindy nicholas, barely made it ashore at dover at the end of the exhausting swim, but a spokesman from the channel swimming association announced that she was in very good shape.	父は週末に帰宅します。	泳者のシンディ・ニコラスは、へとへとになって泳ぎ切った後、ドーバーでかろうじて陸に上がってきたが、海峡水泳教会のスポークスマンは彼女がとても元気であると発表した。
except	以外の 	all will go except you.	this election had many firsts and many stories that will be told for generations. but one that's on my mind tonight is about a woman who cast her ballot in atlanta. she's a lot like the millions of others who stood in line to make their voice heard in this election, except for one thing: ann nixon cooper is 106 years old.	無用の立ち入り禁止。	今回の選挙には色々な「史上初」があり、これから何世代にもわたって語り継がれるいろいろな物語がありました。けれども私が今夜なによりも思い出すのは、アトランタで投票したひとりの女性の物語です。彼女はほかの何百万という人たちと同様に、この選挙に自分の声を反映させようと行列に並びました。ただ１つだけ、ほかの人と違うことがあります。アン・ニクソン・クーパーさんは106歳なのです。
starting	起動 	it's starting now.	i sent an email to an old friend of mine. we haven't kept in touch for awhile, being that the last time we met was over two years ago and haven't contacted each other since. there's no reply from her yet. i'm starting to get anxious.	ほら、始まるわよ。	退職を選択する人々は、６２歳という若さで退職を選べるのである。もっとも、その年齢で社会保障年金を受け取り始めると、支払金額が２０％削減されてしまうことになるだろうが。
barely	bar 	he barely escaped death.	the swimmer, cindy nicholas, barely made it ashore at dover at the end of the exhausting swim, but a spokesman from the channel swimming association announced that she was in very good shape.	娘はやっと１５歳です。	泳者のシンディ・ニコラスは、へとへとになって泳ぎ切った後、ドーバーでかろうじて陸に上がってきたが、海峡水泳教会のスポークスマンは彼女がとても元気であると発表した。
about	約 	about face!	it was about the year 2000 when i remember doing my first trip to korea. using my limited korean, i had lots of trouble asking for basic things like where the train or bus were, and even what the way was to places. i remember lots of people responding to me in english, and while i was pretty relieved at that, i’ve gotta say: people in the country right next to us, speaking a language from peoples on the other side of the world! it’s only when you look at it in that objective state of mind that you realize how strange that is.	どう？	けれども私たちがどういう挑戦に直面しているのか、私はいつも必ずみなさんに正直に話します。私は必ず、皆さんの声に耳を傾けます。意見が食い違うときは、特にじっくりと。そして何よりも私は皆さんに、この国の再建に参加するようお願いします。国を建て直すとき、アメリカでは過去221年間、いつも必ず同じようにやってきた。ささくれたタコだらけの手で、ブロックを一枚一枚積み上げ、レンガを一枚一枚積み上げてきたのです。
a posteriori	前後の 	
a priori	アプリオリ 	
close by	すぐ近くに 	we lived close by the sea.	strangers close by are better than family far away.	遠い親戚より近くの他人。	私達は海のすぐそばに住んでいた。
at any price	いくらでも 	
abandoned	放棄された 	he abandoned hope.	now, as a test of courage, won't you go into that abandoned building over there? it's famous as a place haunted by spirits.	彼女は酒に溺れた。	これから肝試しにあそこの廃墟ビルに行かないか？心霊スポットで有名なんだってよ。
slaughterhouse	食肉処理場 	
slaughter	虐殺する 	the slaughter of the prisoners was a barbarous act.	the slaughter of the prisoners was a barbarous act.	捕虜を虐殺したのは残忍な行為だ。	捕虜を虐殺したのは残忍な行為だ。
abscess	膿瘍 	
abdicate	絶対に 	
absurd	不合理 	what an absurd idea!	it is absurd to believe that young children can run faster than policemen.	なんというばかげた考えだ。	幼い子供が警官より走るのが速いと信じるのは理屈に合わない。
damage	損傷する 	the damage is done.	stock markets around the world tumbled monday over fears that china’s coronavirus outbreak is causing long-term damage to the supply chains that are the lifeblood of the global economy.	もう手遅れだ。	中国でのコロナウイルスのアウトブレイクに対する不安により、全世界の経済を支えるサプライチェーンに長期的な損害を生み出す可能性が見込まれ、全世界の株価は月曜日に急落した。
barking	吠えている 	i met a barking dog.	if we let our reasoning power be overshadowed by our emotions, we would be barking up the wrong tree all the time.	お門違いですよ。	彼女を誘惑しようとして、失敗したことで、彼が見当違いをしていることがわかった。彼女は二人の子供の母親だったから。
abolish	廃止します 	how can we abolish war?	we have to abolish all nuclear weapons, because they are deadly to mankind.	死刑は廃止すべきである。	我々はすべての核兵器を廃止しなければならない、なぜならば人類に死をもたらすからである。
subscriber	加入者 	
subscribe	購読する 	we subscribe to a newspaper.	i certainly don't subscribe to the view that women are necessarily more moral than men.	何の新聞とってるの？	私は女性が男性より道徳的だという考えにはまったく同調しません。
abbreviation	略語 	what is gnp an abbreviation for?	we use ds as an abbreviation of 'dyad' style.	何の略字ですか。	ここではｄｓを「ダイアド」スタイルの省略形として使う。
shelter	シェルター 	we took shelter under a tree.	for example, koko was asked to choose a house or a tree for shelter from the rain.	木陰で雨宿りをした。	鳥が自分の雛に餌をやったり守ったりするのとは違って、魚は卵を産みっぱなしにする。
abrupt	突然の 	she made an abrupt answer.	i was charmed with it, adopted it, dropped my abrupt contradiction and positive argumentation, and put on the humble inquirer and doubter.	彼は突然出発した。	私はそれに引き付けられて、それを採用し、ぶっきらぼうな反対や真正面からの議論を止め、謙遜な探究者、懐疑主義者を装った。
abstention	ab ab 	
abstain	棄権する 	i abstain from alcohol.	true science teaches us to doubt and to abstain from ignorance.	運動選手は普通禁煙する。	真の科学は我々に疑うことを、そして無知を断つことを教える。
absurd	不合理 	what an absurd idea!	it is absurd to believe that young children can run faster than policemen.	なんというばかげた考えだ。	幼い子供が警官より走るのが速いと信じるのは理屈に合わない。
abusing	濫用 	you are abusing your authority.	the section chief seems to like abusing his authority.	それは越権行為だ。	課長は職権を乱用することが好きなようだね。
take advantage of	を活用します 	we will take advantage of this chance.	in this world, there are people who take advantage of legal loopholes to do things that are almost illegal.	機会は利用すべきだ。	折角なお天気な日なので、今日は垣を塗り替えた方がいいと思います。
academy	学校 	his new movie earned him an academy award.	his new movie earned him an academy award.	新作の映画で彼はアカデミー賞を得た。	新作の映画で彼はアカデミー賞を得た。
academic	アカデミック 	his academic achievements are impressive.	if you want to include papers that have been submitted to academic journals, you are limited to those that have been accepted for publication.	彼は学業に専心できない。	しかし、アメリカではふつう、スポーツチームは腕で選ばれ、学業のコースは学力によって選ばれます。
mahogany	マホガニー 	
lull	l 	
get?	取得するため？ 	what did you get?	what? a little soup and celery is all i get? i'm not a zen monk. i can't survive on an austerity diet like this.	何を手に入れたの？	砂糖と間違えてコーヒーに塩を入れちゃった？！あんたってどれだけおっちょこちょいなの？
acceleration	加速度 	
accept	受け入れるために 	i accept you.	you say that you're afraid of being disliked by other people, but you have some people that you dislike yourself, don't you? arithmetically speaking, there are an equal number of people who you don't like that don't like you back. i'm not saying that if you end your dislike of someone, someone else will stop disliking you as well; it's just that you can't change the fact that if you dislike someone, then someone else dislikes you as well. your life will go much smoother if you just give up and accept that truth.	清濁あわせのむ。	人に嫌われるのが怖いって言うけどさ、君も苦手な人いるでしょ。数学的に言って、同じ数の人が君のこと苦手なんだよ。これは別に、嫌いな人をなくせば誰からも嫌われなくなるって言いたいんじゃなくて、単純に君に嫌いな人がいるように誰かに嫌われることがあっても仕方ないってこと。そこを諦めればもっと気楽に生きられるんじゃないかな。
have access to	にアクセスできるように 	do you have access to him?	all the students of the university have access to the university library.	彼らは図書館を利用できる。	その大学の学生は皆、大学の図書館を自由に利用できる。
reachable	到達可能な 	
accessory	アクセサリー 	he was arrested as an accessory to the robbery.	that glittering accessory doesn't go with your sweatshirt. try this on!	彼はその強盗事件の従犯者として逮捕された。	そのぎらぎらしたアクセサリーは君のトレーナーには合わないよ。こっちを試してごらん。
accidental	偶発的 	in short some guns have excellent security systems to prevent accidental firing (e.g. when dropped), others don't.	in short some guns have excellent security systems to prevent accidental firing (e.g. when dropped), others don't.	つまり、いくつかの銃は、暴発（例えば落とされた時）を防ぐために優れた安全機構を持っていますがそうでない銃も多いのです。	つまり、いくつかの銃は、暴発（例えば落とされた時）を防ぐために優れた安全機構を持っていますがそうでない銃も多いのです。
guide	ガイド 	i want a guide to chicago.	crossing guards are posted during school hours to guide children safely across busy streets.	観光ガイドは雇えますか。	ある人が何に興味を持つかということは、その人が本当にどんな人間であるかを知る確実な手がかりになるとも言えよう。
go/come with	行ったり来たり来てください 	
accomplish	達成するために 	did you accomplish the task?	think about whether there is anything that you haven't yet done during your student years, and try to accomplish it before you enter the world of employment.	仕事を成し遂げましたか。	本気出しても大したことないことが自分で分かっちゃったからな。信じられた昔が懐かしい。
grant	付与する 	grant was extremely popular.	i have kept available the afternoon of the 20th and the 21st, and would like to know if mr grant will be available for a meeting on either of those two days.	授業料の補助金が交付された。	２０日と２１日の午後を空けてありますので、この２日間のいずれかにグラント様とお会いしたいと考えています。
delivery	納入 	i had an easy delivery last time.	as i checked your delivery that i received, i found it included a t-shirt which i did not order.	先回は難産でした。	配達のレシートに受け取った品物の正確なリストがない限り、サインをしてはいけません。
give birth	出生するために 	she will give birth in july.	until recently, the main function of women was to marry and give birth to children.	来月子供を生みます。	最近まで、女性の主な役目は結婚して子供を生むことであった。
rush up	急いで 	
accustomed	慣れ 	she is accustomed to sitting.	with this tutorial you will use the sample manga to become accustomed to the procedures for seeing the manga including download.	彼は旅慣れている。	このチュートリアルではサンプルマンガを使用して、ダウンロードを含めてマンガを見る手順に慣れていただきます。
hung up	ハングアップする 	he hung up on me.	no sooner had i hung up the phone than there came another call.	彼は上着を掛けた。	僕はスーザンに謝ろうと電話したのに、彼女ときたら一方的に電話を切っちゃったんだ。
hung up	ぶら下がった 	he hung up on me.	no sooner had i hung up the phone than there came another call.	彼は上着を掛けた。	僕はスーザンに謝ろうと電話したのに、彼女ときたら一方的に電話を切っちゃったんだ。
increase	増加する 	we'll increase the rent next month.	in china, there is a large number of characters, so the goal of the character simplification was to replace the complex traditional characters with easy to remember simplified characters and increase the literacy rate.	労働者達は賃上げを要求した。	これは、結婚に対する人々の見方が変わったことと、１日２４時間あいているファーストフード・ストアやコンビニエンス・ストアが急速に増加して、若い人たちがもっと気楽に暮らせるようになったためかもしれない。
crouch	しゃがむ 	if you just crouch a little, her crotch can just be seen flicking in and out of sight.	if you just crouch a little, the signal flag can just be seen flicking in and out of sight.	ちょっと屈めば、アソコがチラチラと見え隠れします。	ちょっと屈めば、アソコがチラチラと見え隠れします。
(ici) reception	（ici）受付 	
accomodate	収容するために 	
accused	非難された 	the police accused him.	as communism has collapsed, capitalism is now accused of trying to "dominate the world."	被告は無罪になった。	共産主義が崩壊したことにより、今や資本主義が「世界を支配」しようとしているという非難を浴びている。
accuse	告訴するために 	why did tom accuse you?	you have done these things, and i kept silence. you thought that the "i am" was just like you. i will rebuke you, and accuse you in front of your eyes.	自分の失敗で他人を非難するな。	あなたがこれらの事をしたのを、わたしが黙っていたので、あなたはわたしを全く自分とひとしい者と思った。しかしわたしはあなたを責め、あなたの目の前にその罪をならべる。「詩篇５０：２１」
determination	決定 	he made a determination to be a doctor.	let's remember that it was a man from this state who first carried the banner of the republican party to the white house, a party founded on the values of self-reliance and individual liberty and national unity. those are values that we all share. and while the democratic party has won a great victory tonight, we do so with a measure of humility and determination to heal the divides that have held back our progress.	彼は医者になる決心をした。	共和党の旗を掲げて初めてホワイトハウス入りしたのは、この州の人でした。そのことを思い出しましょう。共和党とは、自助自立に個人の自由、そして国の統一という価値観を掲げて作られた政党です。そうした価値は、私たち全員が共有するものです。そして民主党は確かに今夜、大きな勝利を獲得しましたが、私たちはいささか謙虚に、そして決意を持って、この国の前進を阻んでいた分断を癒すつもりです。
be done	行われなければ 	let it be done at once.	our father in the heavens, your name shall be holy. thy kingdom come. may your will be done on earth as it is done in heaven. please give us our daily bread today as well. please forgive us our sins. we also forgive men. please do not tempt us, please save us from evil. the country, power and glory are yours forever. [amen]	それは１日でできる。	天におられるわたしたちの父よ、 み名が聖とされますように。 み国が来ますように。 みこころが天に行われるとおり 地にも行われますように。 わたしたちの日ごとの糧を 今日もお与えください。 わたしたちの罪をおゆるしください。 わたしたちも人をゆるします。 わたしたちを誘惑におちいらせず、 悪からお救いください。 国と力と栄光は、永遠にあなたのものです。 [アーメン]
finish off	終了する 	
acid	酸 	acid acts on metals.	tomatoes are good for people who suffer stomach pain from excess stomach acid when their stomach is empty.	酸が金属を腐食した。	カナダ人が言うところでは、魚は酸性雨として知られているもののために、死にかけているとのことです。
acidity	酸度 	since primary school we've been checking for the qualities known as acidity and alkalinity with litmus paper.	since primary school we've been checking for the qualities known as acidity and alkalinity with litmus paper.	小学校のときから、酸性・アルカリ性という性質をリトマス紙で調べたりしてきていますね。	小学校のときから、酸性・アルカリ性という性質をリトマス紙で調べたりしてきていますね。
buyer	買い手 	they still haven't found a buyer for that house.	an indian buyer and a japanese businessman haggled over the price of the new product.	あの家はまだ買い手がつかない。	インドのバイヤーと日本のビジネスマンは新製品の値をめぐって激しいやりとりをした。
buy	買う 	we buy cds.	"honey, quick, quick. there's this website called tatoeba that's auctioning its sentence collection for a cent each! they've even got special offers like buy 100 sentences and get 1 free!" "ah great! now people collect sentences as a hobby?! what's the world coming to!"	それ買うよ。	「ほら、早く早く。タトエバっていうサイトが、集めた文章を一つ一セントで売ってるよ！文章を百個買うと一つ無料の特別セールもあるんだよ！」「ああ、そりゃいい！今じゃ世間では趣味として文章を集めるのかい！？世界はどこへ向かっているのやら！」
acquit	取得する 	
acrobat	アクロバット 	
acrobatic feat	アクロバティック 	
active	active 	he is an active boy.	we insist that during the next three days you make decisions which are fair to all generations and which show an active concern for the environment.	彼は活動的な人だ。	さらに、お年寄りが互いに交流し、アメリカの生活の中で何時までも積極的に参加していられるように、多くの団体が結成されている。
activity	アクティビティ 	industrial activity is brisk.	recession is a temporary falling off of business activity during a period when such activity is generally increasing.	活動の幅を世界に広げる。	リセッションは一般的傾向としては経済活動が増大している時に一時的に落ち込むことである。
news	ニュース 	it's news to me.	that sports are gaining in popularity all over the world is evidenced by the sports news in the papers, by the many sports equipment stores, and by the number of runners who participate in marathons or other races.	初耳だ。	私は昨夜ニュース映画で英国の女兵隊というものをみたが、なかには男か女かわからないようなのもいたけれども、大部分は、なかなか女らしいところがあって、しかもそうグロテスクな感じはしなかった。
at the moment	現時点では 	you arrived at the moment i left.	say, at the moment i'm considering acquiring a used bike of 150 or 250 cc for more or less a hundred thousand japanese yen.	今度の風邪は軽い。	現在、中古で10万円前後にて、150cc〜250ccのバイク購入検討しているのですが。
acupuncture	鍼 	many people believe acupuncture can cure diseases.	many people believe that acupuncture can cure diseases.	多くの人が鍼治療によって病気が治ると信じている。	鍼治療は病気を治すことができると多くの人が信じています。
member	メンバー 	every member must attend.	"looks like maki's a twin!" ken said. "really now," i replied, totally uninterested. maki was a member of a ukulele club that ran beside our club in the school lounge. she looked lovely in ken's eyes, but to me she was just the sixth cutest girl in class - average, in my opinion.	私は営業部です。	「マキちゃんて双子らしいよ」健が言った。「知らんがな」俺は興味がないので冷たく返す。マキちゃんというのは学生ラウンジで俺たちのサークルの隣に陣取っているウクレレサークルの女の子だ。健の目にはずいぶん可憐に映っているようだが、俺に言わせればクラスで６番目に可愛いくらいの普通の娘だ。
adhere	遵守するために 	wet clothes adhere to the skin.	the older you grow, the more you tend to adhere to fixed ideas.	ぬれた服は肌にくっつく。	年をとるほど、ますます固定観念にとらわれるものです。
membership	会員 	he limited the membership to twenty.	with regard to the membership fee, you must ask the treasurer of the club.	年会費はいくらですか。	会費に関しては会の会計係に聞いてください。
administration	政権 	he's in charge of administration at the hospital.	the appropriation is pin-money; it wouldn't be enough even to build a gym, much less build the administration building.	彼は病院の管理運営に責任がある。	割当て金は僅かなものだ。体育館を建てるにも足らないだろう。ましてや、本部を建てるのに、足りるわけがない。
administrative	行政 	the prime minister proposed administrative reforms.	the widespread application of administrative guidance is considered to be a uniquely japanese practice in which bureaucrats exert authority, without any legal backing, telling the private sector what to do and what not to do.	首相は行政改革を提案した。	行政指導が広範囲に用いられることは、日本特有のやり方だと考えられている。これにより、官僚は民間に対して、ああしろ、こうしろ、ああするな、こうするな、という強い権限を法律の裏づけなしに行使することができる。
admiring	adm adm 	i was admiring his new car.	"i was just admiring your roses. they're absolutely gorgeous." "oh, i'm flattered. thank you."	私は彼の勇気を賞賛せざるをえない。	「ついお宅のバラに見とれてしまってまして。本当に華やかですこと」「まあ、お上手ねえ。それはどうも」
be accepted	受け入れられる 	they will be accepted by their peers in adulthood.	due to his high grades, he will inevitably be accepted to the university.	彼は成績がいいから必ず大学に受かるだろう。	彼の思想は進歩的過ぎて普通の人達には受け入れられなかった。
adolescence	思春期 	adolescence is viewed as time of transition.	how long adolescence continues is determined by biological factors.	青年期は移り変わりの時期と見られている。	青春期がどのくらい長く続くかは生物学的要因によって決る。
teenager	ティーンエイジャー 	a teenager sometimes acts like a baby.	you could pass for a teenager if you wore a t-shirt.	ｔシャツを着たら１０代で通るよ。	ティーンエイジャーはたまに赤ん坊のような行動をとる。
adopt	採用する 	we should adopt his proposal.	some people do not have a consistent set of principles; they just adopt whatever principles benefit them at the moment.	彼の提案を採用すべきだ。	一貫した行動指針というものが無い人もいます。彼らはただ、その時々で自分に都合の良い指針があれば、何でも受け入れるのです。
foster	里親 	health and gaiety foster beauty.	he adopted a war orphan and is bringing her up as a foster daughter.	健康と快活さは美を生む。	彼は戦災孤児をひきとって養女として育てています。
adorable	かわいらしい 	i lost my adorable kitten a few weeks back.	i don't think i'm the kind of person you could say looks cute or has an adorable voice.	彼女は笑うと愛らしくえくぼができる。	私のかわいい小猫ちゃんは、もう数週間も前に姿を消したままなの。
adore	崇拝する 	we adore picnics.	it is important, in any age, to adore god and to respect one's parents.	私はオペラが大好きだ。	私たちは猫を飼っています。私たちはみなその猫が好きです。
opponent	相手 	he knocked his opponent out.	iaido is a form of swordsmanship in which one strikes down an attacking opponent with one blow of the sword quickly drawn out of its sheath, whether the practitioner is sitting or walking.	敵を近づけない。	あの腕の立つ若い棋士は、なかなか大胆だ。わざと、どこからも攻撃されやすいように、しかも陥落されやすいようにみせかけて、相手が最も予期しない時に王手を決める。
air	空気へ 	air the futon.	throat and nose membranes hurt by dry air allow cold viruses to enter more easily. it is important to carry out sensible counter plans against the cold with heaters and against the dryness with humidifiers.	今放送中です。	ボーイング社の安全担当の専門家は航空産業の他の専門家と一緒になって制御飛行中の墜落（ｃｆｉｔ）として知られている墜落事故をなくそうと国際的な対策委員会を組織している。
air	空気 	air the futon.	throat and nose membranes hurt by dry air allow cold viruses to enter more easily. it is important to carry out sensible counter plans against the cold with heaters and against the dryness with humidifiers.	今放送中です。	ボーイング社の安全担当の専門家は航空産業の他の専門家と一緒になって制御飛行中の墜落（ｃｆｉｔ）として知られている墜落事故をなくそうと国際的な対策委員会を組織している。
aerosol	エアロゾル 	
aerospatial	宇宙空間 	
weakened	弱まった 	tom has a weakened immune system.	are you creating for us a future world where there is a greater danger of skin cancer, weakened bodies, less food and fewer plants and animals?	運動不足で筋肉が弱くなった。	皆さんは、皮膚がんになる危険性が大いにあり、体を弱りきらせ、食料の乏しい、動植物の減少した未来の世界を私たちにつくるつもりですか。
starving	飢えて 	the starving man devoured the food.	i gasped with surprise at the horrible picture of the starving people.	世界では多くの人が飢えている。	アフリカの飢えに苦しむ子供たちの事を思うと胸がいたむ。
affectionately	愛情のいくように 	
notice board	掲示板 	
be thrown into a panic	パニックに投げ込まれる 	
confrontation	対決 	
face	顔に 	face facts!	putting aside the simultaneous multilateral terrorist attacks in paris and the californian san paladino gunshot incident in america, in recent years, islamists (muslims) who live in the united states face an increasingly strong anti-islamic sentiment.	顔赤いよ。	アンナは壁の方を向き、数を数え始めました。「1・２・３・４・５・６・７・８・９・１０。隠れていようがいまいが、行くからね！」そう言うとアンナは、数を数える間に隠れた友達を、さがし始めました。
in order to	のために 	i ran in order to be on time.	after weighing all these considerations, the promoters will present their scheme in the form of a private bill; however, they might find themselves forced to alter the route in order to meet criticisms in parliament.	汽車に間に合うように急げ。	こうしたことをじっくり考慮してから、推進者は法律案という形で計画案を提出するが、議会での批判に対処するために、ルートの変更を余儀なくさせられるかもしれない。
in order	順番に 	i ran in order to be on time.	after weighing all these considerations, the promoters will present their scheme in the form of a private bill; however, they might find themselves forced to alter the route in order to meet criticisms in parliament.	先着順に並んでください。	こうしたことをじっくり考慮してから、推進者は法律案という形で計画案を提出するが、議会での批判に対処するために、ルートの変更を余儀なくさせられるかもしれない。
annoying	annoy annoy 	she's annoying and selfish.	it's great that my nephew and niece came over to play, but they're so annoying making such a racket running all over the house all day that i can't stand it.	彼女は迷惑で自己中心的だ。	甥っ子と姪っ子が遊びに来たのはいいが、朝から晩までどたばたと家中を走り回り、うるさくて仕方がない。
be old	老人になる 	there were figures there from those of an age best called girls and boys to those who looked to be old enough to be about to live out their life span.	there were figures there from those of an age best called girls and boys to those who looked to be old enough to be about to live out their life span.	少年少女と呼ぶべき年齢の者から、近く大往生を遂げるのではないかという老齢の者の姿まである。	少年少女と呼ぶべき年齢の者から、近く大往生を遂げるのではないかという老齢の者の姿まである。
worsen	悪化します 	
nimble	n n 	he has a nimble mind.	squirrels are nimble in climbing trees.	彼は頭の働きが早い。	リスはすばしこく木を登る。
(expression)	（式） 	
agitation	攪拌 	fred's agitation has now subsided, and he's sleeping peacefully.	fred's agitation has now subsided, and he's sleeping peacefully.	今はフレッドの錯乱が治まって静かに眠っています。	今はフレッドの錯乱が治まって静かに眠っています。
agitated	怒った 	he was agitated by the news.	i feel tense and agitated when i have too much work to do.	彼はその知らせに心を乱した。	あまりやるべき仕事があると緊張し落ち着かない。
be dying	死ぬことになる 	
staple	ステープルに 	rice is one of those staple commodities.	this is a horror staple - young men and women spend a night of terror in an isolated house.	米はそれら主要商品の一つだ。	若い男女が人里離れた洋館で恐怖の一夜を過ごすという、ホラーの定番スタイルだ。
citrus fruit	かんきつ類の果実 	
na	na 	
as well as	及び 	i can swim as well as you.	integrative medicine refers to a many faceted medical approach that emphasises individual differences and aggressively includes the latest scientific techniques based on modern western medicine as well as various other medical systems like traditional medicine and natural medicine.	彼と同様に君も勤勉だ。	統合医療 とは、個人差を重視して、現代西洋医学を基にした科学的な先端医療から伝統医学、自然療法といったさまざまな治療法を積極的に取り入れ、多面的に組み合わせた医療です。
tick	ティックに 	
alarming	警戒している 	
alarm	警報 	the alarm went off.	why didn't the alarm clock ring, even though i set it? now i'm definitely going to be late.	火災警報が鳴った。	なんで目覚まし掛けてたのに鳴らなかったんだよ。遅刻しちゃうじゃないか！
alcoholism	アルコール依存症 	
breastfeed	母乳育児へ 	
benefits	利点 	benefits are in effect.	australians are, on the whole, pleased with the stabilizing benefits of their political system.	これで誰が得するの？	オーストラリア人は全体として政治システムが安定していることによる恩恵に満足している。
extension	拡張 	extension 45, please.	japan's problem has been that she has continued to view international relations as an extension of her hierarchical interpersonal relations at home.	目下増築中である。	日本の問題点は、国内での階級的な個人同士の関係の延長として国際関係をとらえてきたことである。
mountaineer	登山家 	the mountaineer craved fresh water.	the mountaineer set out for the summit.	岳人が頂上を目指しました。	登山家は清水が欲しくてたまらなかった。
alternately	交互に 	
confuse	混乱させるために 	never confuse art with life.	we shouldn't confuse solitude with isolation. they are two separate things.	砂糖と塩を間違えるな。	「～してはいけない」と「～しなくてもいい」を混同してはいけません。
amateur	アマチュア 	my uncle is an amateur cricket player.	the point we must clarify here is that the lines between amateur and professional in sport are beginning to disappear.	彼女のピアノ演奏はとてもへただった。	ここで明確にしなければならない点は、スポーツにおいてアマチュアとプロフェッショナルの境界線が消失しつつあるということだ。
atmosphere	雰囲気 	the atmosphere was uncomfortable.	when warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. in this, and other, ways wind changes with the terrain.	雰囲気がいやだった。	なんか誰かに雰囲気似てるなあと思ってましたが、言われてみてああそうそうですね。確かにzz topってこういう感じでしたよね。
ambidextrous	x amb 	
improvement	改善 	he has made a big improvement in tennis.	in order for japan to play a central role in the infrastructural improvement of southeast asia, tremendous effort between its government and people is required.	彼はテニスがおおいに上達した。	東南アジアのインフラ整備で日本が中心的役割を担うため、官民一体となった努力が求められている。
fit out	フィットするために 	
(ici) bitter/ (nom) bitterness	（ici）苦味/（nom）苦味 	
amicably	amably 	
ammonia water	アンモニア水 	
amnesia	健忘症 	
grant amnesty	恩赦を与えるために 	
dampen	湿った 	the defeat didn't dampen his spirits.	the defeat didn't dampen his spirits.	敗れても彼の意気はくじけなかった。	敗れても彼の意気はくじけなかった。
how big?	どれくらい大きいですか？ 	how big?	how big?	どのくらい大きい？	どのくらい大きい？
illiterate	併せて 	the illiterate man was eager to increase his vocabulary.	you don't even know how to use a digital camera? how mechanically illiterate can you be? all you need to do is press the shutter.	読み書きが出来ないその男は自分の語彙を増やそうと一生懸命だった。	デジカメの使い方もわからないなんて、どんだけ機械音痴なんだよ。シャッター押せばいいだけだろ。
illiteracy	ill ill 	
analysis	分析 	the analysis gives the following results.	this e-zine is for those who, unswayed by the cajolery of the modern language industry, firmly trust that the traditional learning method of grammatical analysis is the way to go.	彼はその問題を徹底的に分析した。	安全性が改善されない限り、２０１０年までにジェット旅客機は週に１度の割合で空から落ちる事態になっている可能性があると、ボーイング社の分析は予測している。
analyze (us)/to analyse (gb)	（米国）/分析（gb）を分析する 	
