English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Absolutely	absolutely	Stay absolutely still.	Such abundance I accept apparent in this country, such top moral values, humans of such caliber, that I do not anticipate we would anytime beat this country, unless we breach the actual courage of this nation, which is her airy and cultural heritage, and, therefore, I adduce that we alter her old and age-old apprenticeship system, her culture, for if the Indians anticipate that all that is adopted and English is acceptable and greater than their own, they will lose their self-esteem, their built-in self-culture and they will become what we ambition them, an absolutely bedevilled nation.	Fique absolutamente imóvel.	Tal abundância que admito ser evidente neste país, tais valores morais de topo, humanos de tal calibre, que eu não prevejo que a qualquer altura nós derrotemos este país a menos que corrompamos a verdadeira coragem desta nação, que é a sua herança altiva e cultural, e, por isso, eu defendo que alteremos o seu velho e antigo sistema de aprendizagem, a sua cultura, pois se os indianos esperarem que tudo o que é adotado e inglês seja aceitável e superior ao seu, eles perderão a sua autoestima, a sua autocultura enraizada e tornar-se-ão naquilo que os ambicionamos, uma nação absolutamente atormentada.
Absorption	absorption	In fact, the absorption enhancement that we see is in the range of 20 to 50 times the single-pass absorbance.	Taiwan expects a slow absorption of U.S. military submarine technology due to technical barriers and opposition from its chief rival China, despite Washington’s agreement this month to let American contractors pass on the sensitive information.	Aliás, o aumento na absorção que verificamos é da ordem de 20 a 50 vezes a absorvência por passagem única.	Taiwan prevê uma absorção lenta da tecnologia dos submarinos militares norte-americanos devido a barreiras técnicas e à oposição da sua principal rival China, apesar de Washington ter concordado este mês em deixar os construtores americanos transmitir a informação sensível.
Abstention	abstention	There were two abstentions.	There were two abstentions.	Houve duas abstenções.	Houve duas abstenções.
Abstract	abstract	This description is too abstract.	The abstract analysis of the world by mathematics and physics rests on the concepts of space and time.	A descrição é muito abstrata.	A análise abstrata do mundo pela matemática e pela física baseia-se nos conceitos de espaço e tempo.
Absurd	absurd	How absurd!	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music.	Que absurdo!	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical.
Absurd	absurd	How absurd!	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music.	Que absurdo!	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical.
Absurd	absurd	How absurd!	It is as absurd to say that a man can't love one woman all the time as it is to say that a violinist needs several violins to play the same piece of music.	Que absurdo!	É tão absurdo dizer que o homem não pode amar sempre a mesma mulher quanto dizer que um violinista precisa de vários violinos para tocar a mesma peça musical.
Abusing	abuse	He abused my confidence.	Tobacco, divine, rare, superexcellent tobacco, which goes far beyond all the panaceas, potable gold, and philosopher's stones, a sovereign remedy to all diseases...but as it is commonly abused by most men, which take it as tinkers do ale, 'tis a plague, a mischief, a violent purger of goods, lands, health, hellish, devilish and damned tobacco, the ruin and overthrow of body and soul.	Ele abusou da minha confiança.	Tabaco, divino, raro, superexcelente tabaco, que vai muito além de todas as panaceias, ouro potável e pedras filosofais, um remédio soberano para todas as doenças... mas como é vulgarmente usado de forma abusada pela maioria dos homens, que o consomem como os funileiros a cerveja, é uma praga, um maquiavélico, um purgador violento de bens, terras, saúde, tabaco infernal, diabólico e amaldiçoado, a ruína e subversão do corpo e da alma.
Academic	academic	The academic year began in September.	Tatoeba is not a language school, nor a forum for academic discussions, nor, much less, a vehicle for propaganda of any kind. It's far above all that. Its true significance will only be perceived, I believe, in a few years or a few decades, when its beneficial influence will have radiated to the most distant corners of the planet.	O ano acadêmico começou em setembro.	Tatoeba não é escola de idiomas, nem foro de discussões acadêmicas, nem, muito menos, veículo de propaganda de qualquer natureza. Está muito acima de tudo isso. Seu verdadeiro significado só será percebido, acredito, daqui a alguns anos ou algumas décadas, quando sua benéfica influência se terá irradiado aos mais distantes rincões do planeta.
Academy	academy	Do you go to an academy?	The Academy of Motion Picture Arts and Sciences may be departing from the softer, more emotionally accessible films it selected before, says Russell Williams II, a film professor at American University in Washington and an Academy Award-winning sound mixer.	Você frequenta alguma academia?	A Academia de Artes e Ciências Cinematográficas pode estar a afastar-se dos filmes mais ligeiros e emocionalmente mais acessíveis que ela selecionou no passado, diz Russell Williams II, professor de cinema na Universidade Americana em Washington e técnico de mixagem de áudio premiado pela Academia.
Acceleration	acceleration	If not, how do you explain the acceleration?	Hubble's top accomplishments include measuring the expansion and acceleration rate of the universe; finding that black holes are common among galaxies; characterizing the atmospheres of planets around other stars; monitoring weather changes on planets across our solar system; and looking back in time across 97% of the universe to chronicle the birth and evolution of stars and galaxies.	Senão, como você explica a aceleração?	Os principais sucessos do Hubble incluem medir a taxa de expansão e aceleração do universo; descobrir que os buracos negros são comuns entre as galáxias; caracterizar a atmosfera dos planetas em torno de outras estrelas; monitorizar as variações meteorológicas nos planetas de todo o nosso sistema solar; e olhar para trás no tempo através de 97% do universo para fazer uma crónica do nascimento e evolução das estrelas e galáxias.
Accent	accent	Tom has an accent.	Inside the Brazilian American Cultural Institute in Washington, voices babble in American accented Portuguese as students from a variety of backgrounds gather to study Brazilian Portuguese.	Tom tem sotaque.	Dentro do Instituto Cultural Brasileiro-Americano em Washington, vozes balbuciam em português com sotaque americano enquanto estudantes de diferentes origens se reúnem para estudar português brasileiro.
Accident	accident	Accidents happen.	Double Indemnity is the title of a classic 1944 film noir, in which a philandering insurance salesman (Fred MacMurray) and a housewife (Barbara Stanwyck) plot to murder her husband, but to make it look like an accident, in order to collect on an insurance policy that will pay double the value in case of accidental death.	Acidentes acontecem.	"Pacto de Sangue é o título de um clássico ""film noir"" de 1944, no qual um galanteador corretor de seguros (Fred MacMurray) e uma dona de casa (Barbara Stanwyck) planejam o assassinato do marido dela, fazendo-o parecer um acidente, a fim de aumentar o prêmio estipulado na apólice do seguro de vida, que seria pago em dobro em caso de morte acidental."
Accidental	Accidental	Police soon established it wasn't an accidental fire.	Double Indemnity is the title of a classic 1944 film noir, in which a philandering insurance salesman (Fred MacMurray) and a housewife (Barbara Stanwyck) plot to murder her husband, but to make it look like an accident, in order to collect on an insurance policy that will pay double the value in case of accidental death.	A polícia logo provou que não se tratava de incêndio acidental.	"Pacto de Sangue é o título de um clássico ""film noir"" de 1944, no qual um galanteador corretor de seguros (Fred MacMurray) e uma dona de casa (Barbara Stanwyck) planejam o assassinato do marido dela, fazendo-o parecer um acidente, a fim de aumentar o prêmio estipulado na apólice do seguro de vida, que seria pago em dobro em caso de morte acidental."
Accomplice	accomplice	You were Tom's accomplice, weren't you?	Belgian authorities have identified a key accomplice of Paris attacks suspect Salah Abdeslam, as new developments underscore the tangled and far-flung network behind the November 13 terrorist attacks and rising new threats.	Você foi cúmplice do Tom, não foi?	As autoridades belgas identificaram um cúmplice chave do suspeito dos ataques de Paris, o Salah Abdeslam, à medida que os novos avanços salientam a rede complexa e alargada por detrás dos ataques terroristas de 13 de Novembro e as novas ameaças crescentes.
According	accord	According to him, yes.	According to Tom, the theory of evolution by random mutations and natural selection is not convincing for several reasons, the most important of which is the existence of DNA. Among other unacceptable points, Tom adds, this theory claims that the human mind – Socrates, Plato, Aristotle, Galileo, Newton, Shakespeare, Descartes, Da Vinci, Mozart, Einstein, Darwin himself – evolved from the mind of an unidentified primate, which would be our ancestor.	Segundo ele, sim.	Segundo Tom, a teoria da evolução por mutações aleatórias e seleção natural não convence por vários motivos, o mais importante dos quais é a existência do DNA. Entre outros pontos inaceitáveis, Tom acrescenta, essa teoria afirma que a mente humana – Sócrates, Platão, Aristóteles, Galileu, Newton, Shakespeare, Descartes, Da Vinci, Mozart, Einstein, o próprio Darwin – evoluiu a partir da mente de um primata não identificado, que seria nosso ancestral.
Accordion	accordion	Tom plays accordion quite well.	About half a century ago, the accordion was a very popular musical instrument around the world.	O Tom toca acordeão muito bem.	Há cerca de meio século atrás, o acordeão era um instrumento musical muito popular no mundo inteiro.
Accountant	accountant	I'm an accountant.	Many people hire accountants to help them with their tax returns.	Eu sou contador.	Muitas pessoas contratam contadores para ajudá-las com suas declarações de impostos.
Accounting	accounting	Tom is from accounting.	There is no accounting for tastes.	Tom é da contabilidade.	Gosto não se discute.
Accurate	accurate	That's accurate.	The correct, accurate plays with which to make a group secure, or to kill the opponent's group, are studied deeply by all strong players.	É correto.	As jogadas corretas e precisas para tornar um grupo seguro, ou para matar o grupo do adversário, são estudadas a fundo por todos os jogadores fortes.
Accused	accuse	Mary was accused.	Since Guaido declared himself interim president last year, accusing Maduro of rigging the vote to win the 2018 election, he has been unable to muster enough support inside the country to remove the president from office.	Maria foi acusada.	Desde que Guaido se declarou presidente interino no ano passado, acusando Maduro de fraudar a votação para ganhar as eleições de 2018, ele não conseguiu reunir apoio suficiente dentro do país para afastar o presidente do cargo.
Accustomed	accustomed	He is accustomed to the work.	Don't be scared. You will get accustomed to words in Portuguese and speak fluently.	Ele está acostumado ao trabalho.	Não fique assustado. Você vai se acostumar com as palavras em português e vai falar fluentemente.
Achievable	achievable	I'm very confident that's achievable.	I'm very confident that that's achievable.	Estou muito confiante de que isso é possível.	Eu estou muito confiante de que isso é possível.
Acid	acid	What's an amino acid?	According to authorities, two assailants on a moped tossed acid at a 32-year-old man and stole his moped before carrying out a number of other attacks over the course of 90 minutes Thursday night.	O que é um aminoácido?	De acordo com as autoridades, dois agressores num ciclomotor atiraram ácido a um homem de 32 anos de idade e roubaram-lhe o ciclomotor antes de executarem uma série de outros ataques no decurso de 90 minutos na noite de quinta-feira.
Acidity	acidity	Since primary school we've been checking for the qualities known as acidity and alkalinity with litmus paper.	An epigram is a short, sharp saying in prose or verse, frequently characterized by acidity or acerbity and sometimes by wisdom.	Desde a escola primária, temos verificado as qualidades conhecidas como acidez e alcalinidade com papel de tornassol.	O epigrama é um dito breve e agudo, em prosa ou verso, frequentemente caracterizado pela acidez ou acerbidade e às vezes pela sabedoria.
Acne	acne	Two weeks after being admitted to hospital my acne suddenly started to disappear.	Scientists were surprised to find the grapevines they studied harbored Propionibacterium acnes, a bacterium usually found on human skin and best known for causing acne.	Duas semanas depois de ser aceito no hospital, minha acne subitamente começou a desaparecer.	Os cientistas ficaram surpreendidos ao descobrir que as videiras que eles examinaram albergavam a Propionibacterium acnes, uma bactéria geralmente encontrada na pele humana e mais conhecida por causar acne.
Acrobat	Acrobat	He is an acrobat.	The show is staged in the largest tent in North America, a space big enough to allow the horses to gallop and the acrobats to fly through the air.	Ele é acrobata.	O espetáculo é encenado na maior tenda da América do Norte, um espaço suficientemente grande para permitir que os cavalos galopem e os acrobatas voem pelo ar.
Across	across	Walk across the bridge.	And tonight, I think about all that she's seen throughout her century in America — the heartache and the hope; the struggle and the progress; the times we were told that we can't, and the people who pressed on with that American creed: Yes we can. At a time when women's voices were silenced and their hopes dismissed, she lived to see them stand up and speak out and reach out for the ballot. Yes we can. When there was despair in the dust bowl and depression across the land, she saw a nation conquer fear itself with a New Deal, new jobs, a new sense of common purpose. Yes we can. When the bombs fell on our harbor and tyranny threatened the world, she was there to witness a generation rise to greatness and a democracy was saved. Yes we can. She was there for the buses in Montgomery, the hoses in Birmingham, a bridge in Selma, and a preacher from Atlanta who told a people that we shall overcome. Yes we can. A man touched down on the moon, a wall came down in Berlin, a world was connected by our own science and imagination.	Atravesse a ponte.	E esta noite, eu penso em tudo o que ela viu ao longo do seu século na América — o sofrimento e a esperança; a luta e o progresso; as vezes em que nos disseram que não podemos e as pessoas que persistiram nesse credo americano: podemos, sim. Numa altura em que as vozes das mulheres eram silenciadas e as suas esperanças descartadas, ela viveu para as ver erguerem-se e manifestarem-se e estenderem a mão para as urnas. Podemos, sim. Quando havia desespero na tigela de poeira e depressão por toda a terra, ela viu uma nação conquistar o próprio medo com um Novo Acordo, novos empregos, um novo sentido de propósito comum. Podemos, sim. Quando as bombas caíram sobre o nosso porto e a tirania ameaçou o mundo, ela estava lá para testemunhar a ascensão de uma geração à grandeza e uma democracia foi salva. Podemos, sim. Ela estava lá para os autocarros em Montgomery, as mangueiras em Birmingham, uma ponte em Selma e um pregador de Atlanta que disse a um povo que nós haveríamos de superar. Podemos, sim. Um homem aterrou na lua, um muro caiu em Berlim, um mundo estava ligado pela nossa própria ciência e imaginação.
Action	action	Action!	In general the physical and mental form of conscious beings is an expression of the character of the planet on which they live. On certain very large and aqueous planets, for instance, we found that civilization had been achieved by marine organisms. On these huge globes no land-dwellers as large as a man could possibly thrive, for gravitation would have nailed them to the ground. But in the water there was no such limitation to bulk. One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface. Thus they were usually covered by a shallow ocean, broken here and there by archipelagos of small, low islands.	Ação!	Em geral, o perfil físico e mental dos seres conscientes é uma expressão do carácter do planeta em que vivem. Em certos planetas muito grandes e aquosos, por exemplo, descobrimos que a civilização tinha sido realizada por organismos marinhos. Nestes enormes globos, nenhum habitante terrestre tão grande como um homem poderia prosperar, pois a gravitação tê-los-ia pregado ao chão. Mas na água não havia tal limitação para o volume. Uma peculiaridade destes grandes mundos era que, devido à ação esmagadora da gravitação, raramente existiam grandes elevações e depressões na sua superfície. Assim, eles estavam normalmente cobertos por um oceano pouco profundo, quebrado aqui e ali por arquipélagos de ilhas pequenas e baixas.
Active	active	I was active.	The National Trust’s goal is not only to make certain that places like Music Row remain intact, but also to find a way to keep the sites in active use serving the surrounding community while also maintaining their identity and vitality.	Eu estava ativo.	O objetivo do Fundo Nacional não é apenas garantir que locais como o Music Row permaneçam intactos, mas também encontrar uma forma de manter os locais em uso ativo ao serviço da comunidade envolvente, mantendo ao mesmo tempo a sua identidade e vitalidade.
Activist	activist	Tom and Mary are an activist.	The decision by the Istanbul court to continue detaining Taner Kilic pending trial on charges of seeking to overthrow the government has drawn swift condemnation by human rights defenders. The case has become an international focal point of growing concern over the prosecution of human rights activists in Turkey.	Tom e Maria são ativistas.	A decisão do tribunal de Istambul de manter detido o Taner Kilic enquanto ele aguarda julgamento, sob a acusação de tentar derrubar o governo, foi rapidamente desaprovada por defensores dos direitos humanos. O caso tornou-se num ponto focal internacional de crescente preocupação relativamente às ações judiciais contra ativistas dos direitos humanos na Turquia.
Activity	activity	Reading is a good activity.	"We found that physical activity has the potential to preserve the volume of the hippocampus in those with increased risk for Alzheimer's disease, which means we can possibly delay cognitive decline and the onset of dementia symptoms in these individuals,” he said.	10883692	Nós observámos que a atividade física tem o potencial de preservar o volume do hipocampo entre aqueles com maior risco de doença de Alzheimer, o que significa que podemos possivelmente atrasar o declínio cognitivo e o aparecimento de sintomas de demência nestes indivíduos"", disse ele."	A leitura é uma boa atividade.	
Actor	actor	I'm an actor.	The U.S. government said Thursday it will begin offering up to $10 million for information to identify or locate malicious cyber actors working on behalf of a foreign government that are trying to cripple the internet operations of American businesses and infrastructure.	Sou ator.	O governo dos EUA disse na quinta-feira que vai começar a oferecer até 10 milhões de dólares em troca de informações para identificar ou localizar atores cibernéticos maliciosos que trabalhem ao serviço de um governo estrangeiro e que estejam a tentar paralisar as operações de empresas e infraestruturas americanas na internet.
Actress	actress	You are actresses.	Anyone who has seen Kristen Bell break down in (happy) hysterics over a sloth knows the actress's affinity for animals, especially those of the cute and cuddly variety.	Você são atrizes.	Qualquer pessoa que tenha visto a Kristen Bell a entrar em histeria (feliz) por causa de uma preguiça conhece a afinidade da atriz pelos animais, especialmente os da variedade fofa e meiga.
Acupuncture	acupuncture	Have you ever tried acupuncture?	Acupuncture is a form of alternative medicine that's popular in East Asia.	Você já tentou acupuntura?	A acupuntura é uma forma de medicina alternativa que é popular no leste da Ásia.
Add	add	Add the onion.	Under the Tatoeba guidelines, it is recommended that members only add sentences in their native language and/or translate from a language they can understand into their native language. The reason for this is that it is much easier to form natural-sounding sentences in one's native language. When we write in a language other than our native language, it is very easy to produce sentences that sound strange. Please make sure you only translate the sentence if you are sure you know what it means.	Adicione a cebola.	Conforme normas do projeto, Tatoeba recomenda que cada membro acrescente frases apenas em seu idioma nativo, e/ou traduza de uma língua, que ele possa entender, para sua língua materna. A razão disso é que é muito mais fácil formar, na língua materna de cada um, frases que soem naturalmente. Quando escrevemos em um idioma que não é o nosso, é muito fácil criar frases que pareçam estranhas. Por favor, faça por onde só traduzir uma frase se tiver certeza de que sabe realmente o que ela significa.
Addicted	addict	I'm a TV addict.	On a December day at the rehabilitation clinic outside the capital, Accra, addicts recited their serenity prayers and sought refuge from the friends and social environment many said encouraged them to drink, shoot heroin, snort cocaine, or abuse any of a litany of hard drugs.	Sou viciado em televisão.	Num dia de dezembro nesta clínica de reabilitação nos arredores da capital, Acra, os toxicodependentes recitaram as suas orações de serenidade e procuraram refúgio dos amigos e do ambiente social que muitos disseram os encorajavam a beber, injetar heroína, snifar cocaína ou a abusar de qualquer uma de uma panóplia de drogas duras.
Addiction	addiction	Sami was freed from his addiction.	Tatoeba is becoming an addiction to me. I am even paying less attention to the games played by my team Vasco da Gama, just to participate in the exciting, amazing activity that is going on in this community.	Sami foi liberto de seu vício.	Tatoeba é incrível. Considero um raro privilégio poder participar desta luminosa comunidade e é com satisfação imensa que estou modestamente colaborando no trabalho importantíssimo que aqui se desenvolve.
Address	address	Here's my address.	U.S. President Donald Trump addressed a friendly audience Saturday at the annual Conservative Political Action Conference, capping a tumultuous week highlighted by failed talks at a summit with North Korean leader Kim Jong Un and damning testimony before Congress by former personal attorney Michael Cohen.	Aqui está o meu endereço.	O presidente dos Estados Unidos, Donald Trump, discursou perante uma audiência amigável no sábado na Conferência de Ação Política Conservadora anual, encerrando uma semana tumultuada marcada por negociações fracassadas numa cimeira com o líder norte-coreano Jong Un Kim e pelo depoimento ruinoso perante o Congresso do seu antigo advogado pessoal Michael Cohen.
Adjective	adjective	This is an adjective.	In English there are eight main parts of speech: noun, verb, adjective, adverb, pronoun, preposition, conjunction and finally interjection.	Isto é um adjetivo.	Em inglês há oito partes principais da fala: substantivo, verbo, adjetivo, advérbio, pronome, preposição, conjunção e, por fim, interjeição.
Administration	administration	The administration makes important decisions.	The Biden administration announced Monday that it would waive tariffs on solar panels imported to the United States from Cambodia, Malaysia, Thailand and Vietnam for 24 months, reducing uncertainty for the U.S. solar energy companies that had been spooked by a Commerce Department investigation launched in March.	A administração toma decisões importantes.	A administração Biden anunciou na segunda-feira que iria isentar de taxas aduaneiras os painéis solares importados do Camboja, da Malásia, da Tailândia e do Vietname para os Estados Unidos durante 24 meses, reduzindo a incerteza entre as empresas americanas de energia solar que se tinham assustado com uma investigação aberta pelo Departamento de Comércio em Março.
Administration	administration	The administration makes important decisions.	The Biden administration announced Monday that it would waive tariffs on solar panels imported to the United States from Cambodia, Malaysia, Thailand and Vietnam for 24 months, reducing uncertainty for the U.S. solar energy companies that had been spooked by a Commerce Department investigation launched in March.	A administração toma decisões importantes.	A administração Biden anunciou na segunda-feira que iria isentar de taxas aduaneiras os painéis solares importados do Camboja, da Malásia, da Tailândia e do Vietname para os Estados Unidos durante 24 meses, reduzindo a incerteza entre as empresas americanas de energia solar que se tinham assustado com uma investigação aberta pelo Departamento de Comércio em Março.
Administrative	administrative	Who is the Administrative Assistant?	The new vacancies will be filled by more than 500 administrative officials.	Quem é o assistente administrativo?	As novas vagas serão preenchidas por mais de 500 oficiais administrativos.
