English Word	English Sentence
Patent	This patent is from April, 6th 1902.
Patented	This technique is patented.
British	The British embassy has been targeted for a bomb attack.
Bronchial tubes	His bronchial tubes are infected by a bacterium.
Dawn	In general, he goes running at dawn.
Bronchitis	His bronchitis lasted for around three weeks.
Tanned	My brother, who came back from skiing holidays two weeks ago, is tanned.
To tan	She is tanning outside on the sundeck.
Scrap paper	I have done all the math on scrap paper first.
Undergrowth	The dog who came out of the undergrowth was not ours.
Brutal	He is always brutal with children.
Roughly	Every time I ask him questions on this matter, he answers roughly.
To bully	Every day, he went to school, was being bullied by the other pupils and went back home crying.
Loudly	On my flight back from Rome to London, my neighbor snored loudly.
Noisy	In general, the hamster was locked up in its cage because it was too noisy.
Budget	They have spent two extra days talking about the budget for next year.
Budget cut	We have voted the budget cuts during a meeting with the CEO.
Steam	There is steam on my glasses.
Buffet	They have just prepared the buffet.
Bubble	The bubble burst out when it touched the ground.
Ballot paper	It is forbidden to write anything on this ballot paper.
Goal	What is the goal of your journey?
(ici) Plunder	The plunder has been divided between the pirates.
Cabin	each child has made his or her own cabin.
Cabin	He went to sleep in his cabin because he was seasick.
Cable 	A copper cable has been stolen again.
Dented	We got into an accident yesterday, the car is a bit dented.
Cockatoo	The cockatoo flew to some friends' house who live nearby.
Sperm whale	Sperm whales can dive to abyssal depths.
Hide-and-seek	Could you go play hide and seek somewhere else?
Hiding place	Among other things I have found pens, toys and books in my son's hiding place.
Dungeon	This prisonner has been moldering in his dungeon for almost ten years.
Corpse	Two more corpses have been found in the river.
(US) Caddy/(GB) Trolley	The caddy is full, isn't it? I do not think so.
Present	She said it was her who bought the present.
Executive	I heard that several executives of the company might be terminated next month.
False start	He has been disqualified because of a false start.
Hood	It is now forbidden to wear hoods during demonstrations.
Clot	The blood clot dissolved by itself.
Stone	Wait, I have got a stone in my shoe.
Limestone	Limestone is a sedimentary rock.
To burn off	There were burnt off cars alongside the road.
Calendar	I have bought a calendar and my little brother bought a notebook.
To stall	The motor of the car stalled again, didn't it? I am afraid so.
Sedative	Each night, he read a story to his children , read a book and took a sedative to go to sleep.
Squid	During his trip to Sevilla, he ate squids.
To calm	Nobody else managed to calm the baby .
Living death (fig)	This internship is a true living death.
Baldness	Baldness concerns mostly men.
Classmate	My classmate's mother who is divorced is going to her this afternoon.
To burglarize (ici)	I have put an alarm for fear that we might get burglarized during the holidays.
Burglar	The burglar had very little time to visit the appartment.
Cameraman	A professional cameraman is filming the conference.
Camcorder	Nobody else has a camcorder?
Van	After the hail had stopped, he went out to check if his van was undamaged.
Camouflage	This butterfly's camouflage allows it to elude its predators.
To camouflage (ici)	Had the vehicules been camouflaged, we would not have been spotted.
Camp	The camp has been set at an altitude of 3000 meters.
Campaign	The Italy campaign claimed the lives of thousands of men.
Camper	The campers had to abandon their tents because of the rain.
Plumbing	The plumbing froze last winter, didn't it? I am afraid so.
Couch	They did not see that the couch was broken, even though I had already told them so.
Carcinogenic	This product is even more carcinogenic than that one.
Candidate	All the candidates should come to my office tomorrow at noon.
Appliance	I am happy that your appliance has been accepted.
Female duck	The female duck is the female of the duck.
Duckling	The ducklings are swimming in the pond.
Poodle dog	She is used to walk her poodle dog in the morning when she wakes up.
Pocket-knife	I have just remembered that I had to bring a pocket-knife for the picnic.
Canine	This is a cat canine.
Canoe	The canoe with a hole at the bottom must not be set to sail.
Canteen	He works in the morning, eats at the canteen at noon and is doing sports in the afternoon.
Rubber	Rubber is extracted from the rubber tree.
Cape	The sailboat sailed by the Cape of Good Hope.
Capital	He put a part of his capital in a Swiss bank.
Capital	The capital city of France is Paris.
To surrender	After that battle, France surrendered;
(US) Hood/(GB) Bonnet	I think I heard him opening the hood of the car.
Whim	Your son's whims are starting to get on my nerves.
Whimsical	His daughter is so whimsical!
Sensor	This sensor can be used to detect infrareds.
To capture	They have just captured the prisoner who had escaped last week.
Nature	This child is cheerful, he has the same nature as his mother.
Character	I cannot remember what this Chinese character means.
Emotional	You have seen that he is emotional!
Carafe	At every lunch time, he sat at the same table, went to fill a carafe up and ate alone.
Caribbean (islands)	While you will be on holidays in the Caribbeans, I will be working in Paris.
Pileup	I have been told that there was a pileup on the highway.
Caravan	The caravan will go through here around July, 3rd.
Carcass	Some hyenas were fighting for a gnu carcass.
To have a heart condition	She has a heart condition, it is normal she did not come to the amusement park with us.
Deficiency	She has an iron deficiency, she should eat more meat.
Stroke (animal) (Humain, autres « caress »)	My cat likes being stroked a lot while my dog does not.
Cargo	As soon as the cargo is unloaded, the boat will be able to rig out.
Caricature	Their student newspaper have published a caricature of the prime minister.
Caricaturist	He is a very talented caricaturist.
Carnival	Today is March, 3rd, the carnival should begin in a few days.
Note-book	He used to write every thought of his in a note-book.
Window pane	While you are cleaning the window panes, I will vacuum clean.
Paving	He has just cleaned the paving.
Career	Had I done further studies, I would have had a brilliant career.
Quarry	I was told that this quarry had been abandoned the year before.
Body	He told me that he was the one who had scratched on the car's body.
School bag	In his school bag he has some copybooks and a book by Victor Hugo.
Card	You have to give three cards to each player.
Map	Would you have a map of the area by any chance?
Waterfall	He went picnicking with his wife at the waterfall.
Stuntman	The stuntman broke his leg by doing a backward somersault.
Square	You have to put the white king on the black square at chess, right? I think so
Nutcracker	I forgot to bring the nutcracker.
So… that	He was so tired that he did not have the strenght to cook himself a meal.
Cast	Each cast of the Indian society is itself divided in sub casts.
To castrate	The cat has been castrated last week.
Catalogue (ici)	I remember I saw this product in the catalogue.
Catastrophe	The catastrophe has been all the more serious that it took the assistance a long time to come
Terrible	A few of them had terrible results at the exams.
Category	Both of the brothers are boxing; one is in the heavy category and the other one in the light category.
Cavalry	A lot of people died when the cavalry charged.
Basement	I gave you the keys of the basement, didn't I?
Cavern	The guide told me that this cavern have only been discovered five years ago.
Caviar	I have very little money with me, buying caviar is out of the question.
Cavity	A pair of common kestrels nests in the cavity of the inner wall.
Blindness	Blindness is a problem which hits more than hundreds of thousands people in this country.
To yield	He yielded to his daughter's whims in the end.
Cedilla	You forgot to put a cedilla on the c of "ça".
Celebrity	Celebrity has gone to his head.
Single	When he was single, he used to be able to spend nights dancing.
Celtic	Celtic languages such as Breton language and Gaelic are endangered.
Censorship	Censorship is stronger than ever these days.
To censor	This article has been censored, right? No, I am afraid.
Centre	O being the center of a 3 centimeters radius circle.
Hoop	This hoop belongs to a little boy whose name is Tanaka.
Coffin	Four men lifted the coffin.
Ceremony	Today is July, 27th, the opening ceremony of the Olympic games is tonight.
Kite	I have never seen so many kites in the sky.
To surround	The house is surrounded by the police.
Medical certificate	I did not have any medical certificate so I could not sign up.
Cease-fire	The cease-fire only lasted for five days.
Cetacean	When I was on holiday, I went diving and I saw cetaceans in the high sea.
Warmly	I have been warmly welcomed.
Hearty	Some of your friends have been very hearty with him.
Longboat	We have to go to the longboats, the ship is about to sink.
(US) Blowtorch/(GB) Blowlamp	He took a blowtorch with him for soldering.
Champion	When he was only eighteen, he became a judo world champion.
Championship	The world judo championship will take place this summer.
Champion	This champion is twice as fast as that one in sprinting races.
Change	There has been no change in the government composition.
To replace (ici)	We should replace the washing machine, this one is not working properly anymore.
Song	I have been told that this artist used to write a lot of songs.
Goodwill	He relies on his family's goodwill to live.
Conjurer (ici)	At that time, nobody told me that this doctor was a genuine conjurer.
To have charm	She is not very beautiful, but she has charm.
Carrion feeder	You have to burry the leftovers of your meal, otherwise the carrion feeders will come and get them.
Carpenter	I saw a carpenter fixing the neighbor's roof yesterday.
Hunting	Hunting is forbidden during this time of year.
To hunt	While their mother is hunting, the lion cubs stay in their burrow.
Chestnut	Which boy do you prefer? The chestnut-haired one.
To tickle	It is tickling me.
Boiler	This boiler is not that old, she is still working fine for now.
	Do not walk barefoot on the paving, you will catch a cold.
Bald	He looses his hair, he is going to be bald in a few years.
Masterpiece	This is an actual masterpiece.
Chimney	Since it is cold, the cat went near the chimney.
Number	You have to find the exact right number or you will not get full marks for that question.
Choral group	I used to go and sing in a choral group on Thursdays last year.
Choreography	We have been working on that choreography for three weeks.
Stopwatch	I forgot to take my stopwatch with me.
Whispering	I can hear whisperings at the back of the classroom.
To whisper	Stop whispering!
To have a fall	He had a fall in the stairs.
Target	Even if the target is two hundred meters away, he managed to put the arrow in the bulls eye.
To heal	His wound finally healed.
Cicada	Cicadas sing all summer long.
Cigar	Could you tell me where you bought these cigars?
Hanger	Put your shirt on a hanger.
Traffic	The traffic is clear today.
To quote	I have quoted Kant and Socrates in my essay.
Quotation	He learns quotations by heart for tomorrow's exam.
Cistern	If I were rich, I would buy a cistern to collect rainwater.
Citizenship	He has been trying to get French citizenship for several years.
Glade	I saw wild boars walking in this glade last week.
Stowaway	I had been told that two stowaways had been arrested last week.
Illegally	They have crossed the border illegally, didn't they?
Clandestineness	For how long did they live in clandestineness?
Rank (ici)	The rank of the candidates will be online at nine sharp.
To file	I would prefer to stay here to file my folders rather than go to that meeting.
Binder	This is the binder that I have been searching for for hours.
Categorization	The categorization of living beings started during the nineteenth century.
Classic	This piece of music belongs to the greatest classics.
Clause	I have never seen so many clauses in a contract.
Clientele	He managed to gather a clientele in a few months only.
Blinker	You can get a fine if you forget to switch your blinker on before turning.
To blink	A red light blinks in the dark.
Clone	One is the clone of the other.
To clone	A team of scientists managed to clone a bird species.
Fence	A fence divides the two fields.
To coagulate	The blood coagulated quickly.
Trunk	I have left the groceries in the trubk of the car.
Coherence	There is no coherence in what he says.
To block (ici)	You, go block the door before it closes again.
Partner	He told me I could have two partners.
To work with so	With whom else do you work?
Joint effort	This joint effort has been fruitful.
To collect	My brother collects toy cars, my sister collects stamps and I collect comics.
As a body	We have made this decision as a body around a week ago.
Community	These workers are paid by the community.
Crash	The crash between two trains has led to the deaths of dozens of people.
(conf-débat)Symposium/(uni)Conference	I think that the symposium begins on January, 14th.
To seal	They managed to seal the breach in the hull.
Colonial	This house dates back to the Colonial times.
Colony	A lot of colonies got their independences after WW2.
Colonization	Do you know when the colonization of this country had started?
To colonize	Some countries, such as Persia or Thailand, have never been colonized.
Column	The temple which columns date back to 5 B.C. is very much appreciated by tourists.
Colouring	It is this colouring which has been banned in food recently.
Combination	Who might have changed the combination of this lock?
Fuel	There is no more fuel for the fireplace.
Eatable	None of these two mushrooms is eatable.
Comedy	There is one action movie and one comedy tonight on television.
Comet	Scientits state that this comet could collide with Earth.
Funny	I found the situation quite funny.
Shopkeeper	A lot of storekeepers did not open their stores as a sign of protest against the regime.
Mall	He works as a guard in a mall.
To commercialize	A new treatment against AIDS has been commercialized.
Comparable	These two results are not comparable.
To compare	But why do you always compare yourself with other people?
Compartment	We can go and sit in any compartment of the wagon.
Skill	He has numerous skills.
Competitive	This company is not as competitive as its foreign competitors.
Competitiveness	Competitiveness has been used as a pretext to fire employees.
(Expression) To be close	They are still very close after more than ten years of marriage.
Compliment	She likes compliments.
Complicated	The more complicated the problem he has to face is, the harder he works.
Behavior	I did not quite appreciated his behavior.
Composer	It is a morceau by this composer I have told you about.
Compost	Compost is made out of plants detritus.
To be understable	This text cannot be undertsood by everyone.
To be understanding	I do not find him very understanding.
Pill	Do not forget to take your pills befor going to bed.
To implicate	He is implicated in several corruption cases.
To make compromises	He is not in the mood to make compromises.
Electric meter	The electric meter is in the corridor.
Focus	He lacks focus.
Focused	He is more focused than usual.
To focus	The less he focuses, the less he manages to study.
Conception	The conception of a car can take several years.
To concern	This does not concern you.
Caretaker	In the past, the caretaker took the garbage out on Wednesdays.
To reach a conclusion	I have reached the same conclusion as you have.
To condemn (ici)	He was condemned with a small fine only.
Sentencing	The sentencing of this militant led to strong protests.
To condition	Students are conditionned to obey authority.
Condolences	Please accept my condolences.
To trust	I do not trust her as much as I trust my sister.
Confident	She too is confident as to the exams results.
Confidential (NB: si c'est dans le bureau pièce, c'est bien "office" mais si c'est dans le bureau meuble, mettre "desk")	This document is confidential, I would like you to put it in a safe rather than in you office.
To entrust (ici)	You can either entrust your son to my brother or to my sister.
To confirm	When will you be able to confirm that you will be coming?
To confiscate (ici)	Where are the children's toys that you have confiscated? I will give them back tomorrow.
Jam	I got out, I went to the market and I bought some jam.
To confuse	I confused him with a friend.
Conformed (adj)	The security of this building is not conformed with norms
Comfortable	Between this armchair and this couch, which one is the most comfortable? The couch is the most comfortable.
Comfortably	I like watching television comfortably seated in an armchair.
Confused	I find him quite confused.
Holiday	Unfortunately, I will not have any holidays next year.
To know	Unfortunately, I do not know the answer.
Connexion	The internet connexion is very bad today
Famous	he was very famous in his days, wasn't he? I do not think so.
To conquer	France has been conquered in afew weeks only.
Conquest	The conquest of this country led to thousands of deaths.
To devote	Is it worth it to devote so much to one's work?
Scrupulously	If you knew how scrupulously she works.
Conscious	He does not seem to be conscious.
