English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
artist	artista	He's an artist.	We came to New York so I could make money to study art, so I could become a famous painter, so I colud be hung in art galleries, so I could be hung in museums.	É um artista.	Viemos para Nova Iorque para eu ganhar dinheiro para aprender arte. Para me tornar um artista famoso. Para poder estar pendurado em Galerias de Arte, pendurado em Museus...
Ashtray	Cinzeiro				
Asia	Ásia	Native of Asia.	You betrayed the both of us in Asia and we lived, no thanks to you.	Nativo da Ásia.	Traíste-nos a ambos na Ásia. Não foi graças a ti que sobrevivemos.
asparagus	espargos	Well, steak and asparagus and potatoes.	Well, steak and asparagus and potatoes.	Bife, espargos e batatas.	Bife, espargos e batatas.
asset	de ativos				
assistant	assistente	Keep working, deputy.	Miss Wilkinson's brother was called down from London, you see, and he has just told my assistant that the body at the mortuary positively is not hers.	Continue a trabalhar, assistente.	O irmão da Menina Wilkinson foi chamado de Londres, sabes, e ele acaba de dizer ao meu assistente que o corpo que está na morgue positivamente, não é dela.
associative	associativo				
astigmatic	astigmático				
astronomy	astronomia	I bow down before astronomy.	You know how I am about that astronomy jazz.	Inclino-me diante da astronomia.	Sabes como gosto de astronomia.
asylum	asilo	And that's why I like the poor farm.	someone who'd escaped from a lunatic asylum and just decided to open up Allenby Street.	Por isso é que gosto do asilo.	alguém que escapou de um asilo de lunáticos e decidiu abrir a Rua Allenby
Atelier	ateliê				
atheistic	ateu	Scratch a doctor and you'll find an atheist.	You can be an atheist for a week or a year, or for the duration of a war, but you can't be an atheist all your life, really.	Por detrás de um médico, há um ateu.	Eu não sei. Você pode ser um ateu durante uma semana ou um ano, ou para a duração de uma guerra, mas você não pode ser um ateu toda a sua vida, de verdade.
athlete	atleta	You know that Neeko is a professional athlete?	Like an athlete training for the Olympic Games... she counted every calorie... went to bed every night at 9:00.	sabes que o Neeko é um atleta profissional?	Como uma atleta a treinar para os Jogos Olímpicos... Ela contou cada caloria... ia para a cama todos os dias às 9:00.
athletic	Atlético				
athletic	Atlético				
Atlantic	atlântico				
atmosphere	atmosfera	Oxygen atmosphere.	"""Seeing"" is the astronomer's term for a steady atmosphere through which the shimmering of an astronomical image in the telescope is minimized."	Uma atmosfera com oxigénio.	Visibilidade é um termo usado pelos astrónomos para indicar uma atmosfera estável, na qual seja mínimo o tremeluzir da imagem astronômica, no telescópio.
atmosphere	atmosfera	Oxygen atmosphere.	"""Seeing"" is the astronomer's term for a steady atmosphere through which the shimmering of an astronomical image in the telescope is minimized."	Uma atmosfera com oxigénio.	Visibilidade é um termo usado pelos astrónomos para indicar uma atmosfera estável, na qual seja mínimo o tremeluzir da imagem astronômica, no telescópio.
atoll	atol				
atom	átomo	A span of 4000 years a mere atom in the eternity of time.	we focus on one commonplace group of 3 hydrogen atoms bonded by electrical forces to a carbon atom.	Passados quatro mil anos, um mero átomo na eternidade do tempo.	Nós focamos em um grupo comum de 3 átomos de hidrogênio ligados por forças elétricas a um átomo de carbono
atomic	atômico				
atrocity	atrocidade				
attack	ataque	Attack.	So I had to order our planes to attack... because I didn't have the moral right... to sacrifice our men... for the protection of Mr. Allende's private guards... who were nothing but professional agitators... who had been trained abroad.	Ao ataque.	Assim, tive que ordenar o ataque aéreo. Porque não tinha o direito, moralmente, de sacrificar os nossos soldados para poupar a guarda do Sr. Allende, que não eram senão agitadores profissionais. Treinados no estrangeiro.
attempt	tentar	Faster!	He maybe made me realize that now we've got a little money for the first time in our lives, and the chance to get a lot more, this would be a dumb time to find out who's the fastest with a gun, us or some show-off that might be lucky, even if he wasn't good.	Estou a tentar.	Ele fez-me perceber que pela primeira vez temos algum dinheiro... e a chance de conseguirmos mais... e é burrice tentar descobrir quem é mais rápido... se nós ou algum exibido que pode ter sorte, mesmo não sendo bom.
attentive	atencioso	Very thoughtful of you.	He's not only smart as a whip but he's thoughtful, too.	Muito atencioso da sua parte.	Ele não é apenas esperto, ele é, também, atencioso.
attitude	atitude	Nice of you.	But I think we better do something drastic, that is unless you relish the thought of suddenly finding yourselves on the wrong end of a plow, or chasing each other around race tracks while the horses do the betting.	Foi uma atitude bonita.	Mas acho que é melhor tomarmos uma atitude drástica, a menos que vocês apreciem o pensamento de, de repente, se encontrarem do lado errado de um arado, ou perseguindo-vos uns aos outros, numa pista de corridas enquanto os cavalos fazem as apostas.
attractive	atraente	Strange.	I thought on your first visit to Washington you would enjoy someplace unusual and attractive, so I took the liberty of making reservations at the Pussycat Club.	Achei o Emilio atraente... nessa altura.	"Pensei que na vossa primeira visita a Washington gostassem de conhecer um lugar fora do comum mas atraente. Tomei a liberdade de fazer reservas no ""Pussycat Club""."
audience	público	Publicly, too.	The smiling young princess showed no sign of the strain of the week's continuous public appearances, and, at her country's embassy that evening, a formal reception and ball in her honor was given by her country's ambassador to Italy.	Em público.	A jovem princesa não mostrou sinais de fadiga das aparências em público. Na Embaixada do seu país, uma recepção formal e um baile em sua honra foram dados pelo embaixador do seu país em Itália
August	Agosto	August of 1945.	The job's mine. I'll be in Nairobi doing my post-doc work July and August and in September, I'll be teaching at Harvard.	Agosto de 1945.	Estarei em Nairobi de Julho até Agosto... em Setembro, darei aulas em Harvard.
aunt	tia	A young aunt.	The proverbial aunt whom I've never seen... has proverbially gone to her rest... and left me a rich man, a very rich man.	É uma tia jovem.	Uma tia que nunca ví morreu inesperadamente e me deixou rico. Me deixou muito rico.
austerity	austeridade	"""No luxury lunches in Hacker's new austerity regime""."	nature sits in stern mastery over these rocks and crags.	"""Nada de almoços luxuosos no novo regime de austeridade do Hacker""."	A Natureza domina com austeridade estas pedras e vales escarpados.
Australia	Austrália	A medical conference.	No, they're separated, my mom in Canada My father in Australia so they're renting this for me, you'll see, it's really nice.	Não, para a Austrália.	Não, os meus pais estão separados. A minha mãe mora no Canadá e o meu pai na Austrália. Alugaram um quarto para mim aqui.
author	autor	I am the author.	Professor Dr. Samuel Odenheim... head of the first clinic for Internal Medicine... at the University of Vienna, author of many medical textbooks... died today in the harbour of Famagusta... on board a cramped freighter going nowhere, because there wasn't room for him on this earth.	Eu sou o autor.	Professor Dr. Samuel Odenheim... Chefe da primeira clínica de medicina interna... da Universidade de Viena, autor de muitos manuais de Medicina... faleceu hoje no porto de Famagusta... a bordo dum cargueiro abarrotado indo para nenhures, porque não havia espaço para ele nesta Terra.
authoritarian	autoritário				
authority	autoridade	Not your authority.	He's asked my advice but I've brought him here because it's rather a delicate matter and only the authority and the profound sense of justice of the town's first citizen can help him.	Não a sua autoridade.	Ele pediu o meu conselho... mas eu trouxe-o aqui porque é um assunto muito delicado... e somente a autoridade e o profundo sentido de justiça... do primeiro cidadão da terra pode ajudá-lo.
autism	autismo				
autograph	autógrafo	We want her autograph.	You know, I've been thinking... and I'd rather just have your autograph.	Queremos um autógrafo.	Sabes, estive a pensar... e sem dúvida que preferia o teu autógrafo.
autograph	autógrafo	We want her autograph.	You know, I've been thinking... and I'd rather just have your autograph.	Queremos um autógrafo.	Sabes, estive a pensar... e sem dúvida que preferia o teu autógrafo.
automate	automatizar				
automatically	automaticamente	Why not?	STARBUCK: There was nothing left but my escape pod, which fired automatically moments before my ship impacted:	Aquela que tem o violino do coração para jogar automaticamente.	não havia sobrado nada alem da minha capsula de fuga que ativou-se automaticamente momentos antes da nave ser destruída
autonomy	autonomia	That works out to roughly 7 hours, 15 minutes endurance.	That works out to roughly 7 hours, 15 minutes endurance.	Isso dá uma autonomia aproximada de 7 horas e 1 5 minutos.	Isso dá uma autonomia aproximada de 7 horas e 1 5 minutos.
autonomy	autonomia	That works out to roughly 7 hours, 15 minutes endurance.	That works out to roughly 7 hours, 15 minutes endurance.	Isso dá uma autonomia aproximada de 7 horas e 1 5 minutos.	Isso dá uma autonomia aproximada de 7 horas e 1 5 minutos.
autopsy	autópsia	The autopsy.	Now, from the evidence of the state of mind of Madeleine Elster prior to her death, from the manner of her death, and from the postmortem examination of the body showing the actual cause of her death, you should have no difficulty in reaching your verdict, gentlemen.	A autópsia.	Agora, quanto ao estado mental de Madeleine Elster antes da sua morte, quanto à forma como morreu, e quanto à autópsia do corpo demonstrativa da verdadeira causa de morte, não deverão ter qualquer dificuldade em chegar a um veredicto, meus senhores.
available	acessível				
available	acessível				
avalanche	avalanche	My train ran into an avalanche.	My train ran into an avalanche.	O meu comboio foi atingido por uma avalanche.	O meu comboio foi atingido por uma avalanche.
avenue	Avenida	Uh... 22a, runcorn avenue.	But you'll have to shoot most of it from a helicopter. And it will involve closing off 5th Avenue from 34th to 59th street.	Penso que no número 22A, da Avenida Runcorn.	Terá de fotografar a maior parte de um helicóptero e será preciso fechar a Quinta Avenida entre as ruas 34 e 59.
aviation	aviação	Then give the flight surgeons a hand.	So it looks as though we'll not need our snow gear.	Então, ajude os médicos de aviação.	Nos abasteceremos de combustivel em Gibraltar, e saltaremos 350 milhas à frente, do 1º exército para tomar o campo de aviação e destruí-lo antes que os alemães possam chegar lá.
aviator	aviador	There's the fly-fly boy.	Monsieur Radetzky is here as a pianist.	Lá está o aviador.	Monsieur Radetzky está aqui como pianista. Não como aviador.
avocado	abacate				
avoid	evitar	More trouble?	Commissioner, I assure you that once we reach the Enterprise with its medical facilities, we'll have you back to your job in time for you to prevent that war.	O quê? Não pude evitar.	Após chegarmos à Enterprise, voltará ao trabalho num instante, para evitar a guerra.
awake	acordado	I'm awake.	Agitation of spirit kept me awake for many long hours... but at length I fell into a deep slumber.	Estou acordado. Vem cá.	A agitação do espírito me manteve acordado por muitas horas, mas, ao final, mergulhei num sono profundo.
awful	horrível	I'm cheap.	It's something that's happened on account of this horrible place. These people poking their noses into our business and I never see you anymore, with your soda fountains, and your extra...	Sou horrível.	Isto aconteceu por causa deste lugar horrível... destas pessoas que se metem na nossa vida.
ax	machado	Give me that axe.	Down home, when a man come home and hear a man in bed with his wife, he just go to the wood pile and get his doubIe-bIade axe and go in and chop them up.	Dê-me esse machado.	Onde eu vivo, quando um homem ouve a mulher com outro na cama vai logo ao monte de lenha, traz o machado e corta-os aos pedacinhos.
axis	eixo	My rear axle's frozen.	Dual overhead cam shafts. Fully-enclosed drive shaft. Dual disc brakes in front.	O meu eixo traseiro pifou.	Cabeça de transmissão dupla, eixo blindado, travões duplos à frente...
aztec	asteca				
baby	bebê	The child has come.	I went to the museums. I saw the photographs of devastation. I went to the Peace Park.	O bebê nasceu.	Fui aos museus, vi as fotografias da destruição... fui ao Parque da Paz, olhei todos os monumentos... a estátua de uma mãe com o bebê... a estátua de uma deusa embrulhada em papel.
back	de volta				
back	de volta				
back	de volta				
bacterium	bactéria	Well, now, no little bacteria did that.	It has been attacked by a bacteria which threatens to render it lifeless.	Nenhuma bactéria era capaz de fazer isto.	Foi atacado por uma bactéria que ameaça deixá-lo sem vida.
Badge	Distintivo				
badger	texugo	A fox or a badger maybe.	A fox or a badger maybe.	Uma raposa ou texugo talvez	Uma raposa ou texugo talvez
bag	sacola				
Bag	Sacola				
bagpipe	gaita de foles				
Baguette	baguete				
Baker	padeiro	I'm a baker's wife.	The cowboy, the 24-karat Indian, the cook the baker and myself.	Eu sou mulher de padeiro.	O cowboy, o índio de 24 carates, o cozinheiro o padeiro e eu.
balance	Saldo				
balanced	equilibrado	Now you're all balanced.	Fifty imperials against Prince Anatole that I drink a bottle of rum without taking it from my mouth, balancing on the outside ledge without touching the sides of the window.	Agora estás equilibrado.	Aposto 50 imperiais com o Príncipe Anatole... que consigo beber a garrafa de rum sem tirá-la da boca... equilibrado no batente, sem me segurar na janela.
bald	Careca				
Baldness	Calvície				
ball	bola	Ball two.	If you looked into a magic crystal... and you saw your army destroyed and yourself dead... if you saw that in the future... as I'm sure you're seeing it now... would you continue to fight?	Segunda bola.	Se olhasses para uma bola de cristal... e visses o teu exército destroçado e tu morto... se visses que no futuro... e tenho a certeza de que já o estás vendo... continuavas a lutar?
ball	bola	Ball two.	If you looked into a magic crystal... and you saw your army destroyed and yourself dead... if you saw that in the future... as I'm sure you're seeing it now... would you continue to fight?	Segunda bola.	Se olhasses para uma bola de cristal... e visses o teu exército destroçado e tu morto... se visses que no futuro... e tenho a certeza de que já o estás vendo... continuavas a lutar?
ballet	balé	For a great lady of the ballet.	For a great lady of the ballet.	Para uma grande dama do balé.	Para uma grande dama do balé.
Ban	Banimento				
Banana	Banana				
Band	Banda	That a soundtrack.	You're such a lovely audience, we'd like to take you home with us	Muito bem, Dona Banda.	Banda dos Corações Solitários do Sargento Pimenta Vocês são um público adorável Gostaríamos de levá-los pra casa
bandage	curativo	I can't even put a Band-Aid on my finger.	I can't even put a Band-Aid on my finger.	Não consigo nem colocar um curativo no meu dedo.	Não consigo nem colocar um curativo no meu dedo.
bandage	curativo	I can't even put a Band-Aid on my finger.	I can't even put a Band-Aid on my finger.	Não consigo nem colocar um curativo no meu dedo.	Não consigo nem colocar um curativo no meu dedo.
bangladesh	Bangladesh				
bank	banco	The bench.	we put the empty bags employees and customers truth use two bags each dog able to take 500 thousand dollars currency per bag Unidense state that each employee will bring together ASAP in each bag in the next 5 minutes or all will die	Sente-se no banco.	Isso vai meter um medo enorme aos funcionários do banco e aos clientes, não é? Cada cão vai levar dois sacos capazes de levar 50 mil dólares por saco em notas correntes dos EUA. Os funcionários do banco vão reunir o dinheiro exigido e mete-lo em cada saco nos próximos 5 minutos ou todas as pessoas presentes no banco serão mortas.
bank	banco	The bench.	we put the empty bags employees and customers truth use two bags each dog able to take 500 thousand dollars currency per bag Unidense state that each employee will bring together ASAP in each bag in the next 5 minutes or all will die	Sente-se no banco.	Isso vai meter um medo enorme aos funcionários do banco e aos clientes, não é? Cada cão vai levar dois sacos capazes de levar 50 mil dólares por saco em notas correntes dos EUA. Os funcionários do banco vão reunir o dinheiro exigido e mete-lo em cada saco nos próximos 5 minutos ou todas as pessoas presentes no banco serão mortas.
bank	banco	The bench.	we put the empty bags employees and customers truth use two bags each dog able to take 500 thousand dollars currency per bag Unidense state that each employee will bring together ASAP in each bag in the next 5 minutes or all will die	Sente-se no banco.	Isso vai meter um medo enorme aos funcionários do banco e aos clientes, não é? Cada cão vai levar dois sacos capazes de levar 50 mil dólares por saco em notas correntes dos EUA. Os funcionários do banco vão reunir o dinheiro exigido e mete-lo em cada saco nos próximos 5 minutos ou todas as pessoas presentes no banco serão mortas.
bank	banco	The bench.	we put the empty bags employees and customers truth use two bags each dog able to take 500 thousand dollars currency per bag Unidense state that each employee will bring together ASAP in each bag in the next 5 minutes or all will die	Sente-se no banco.	Isso vai meter um medo enorme aos funcionários do banco e aos clientes, não é? Cada cão vai levar dois sacos capazes de levar 50 mil dólares por saco em notas correntes dos EUA. Os funcionários do banco vão reunir o dinheiro exigido e mete-lo em cada saco nos próximos 5 minutos ou todas as pessoas presentes no banco serão mortas.
Baobab	Baobá				
baptism	batismo	Might I inquire as to his first name?	These are children who died before baptism.	Posso perguntar o nome de batismo dele?	São crianças que morreram antes do batismo.
baptize	batizar				
bar	bar	Usual place.	Churchill visited an avenue there close e had a gigantic crater of the size of this bar e had women trying to take off the things of them of the houses in ruins e after seeing that, Churchill said:	No bar do cinema, ou na minha casa.	Churchill visitou uma avenida lá perto e havia uma cratera gigantesca do tamanho deste bar e havia mulheres tentando tirar as coisas delas das casas em ruínas e depois de ver aquilo, Churchill disse:
barbecue	churrasco	I got barbecue here.	I got barbecue here.	Tenho um bom churrasco aqui.	Tenho um bom churrasco aqui.
barely	por muito pouco				
Bark	Latido				
Bark	Latido				
Bark	Latido				
bark	latido				
Barn	Celeiro				
barometer	barômetro	Robson's hadn't got what I wanted... one of those clocks with barometers and everything in one.	Robson's hadn't got what I wanted... one of those clocks with barometers and everything in one.	A loja não tinha o que eu queria... um daqueles relógios com barômetro e tudo mais.	A loja não tinha o que eu queria... um daqueles relógios com barômetro e tudo mais.
Baron	Barão	Baron what?	I wonder if I could remind the Baron of his promise... that I might speak to him at any time?	Barão quê?	Será que posso recordar ao Barão a promessa... de poder falar com ele a qualquer hora?
Barrack	quartel	The Rodier Firehouse.	After the dance, all first sergeants quartermasters, saddler sergeants, farriers, cooks and bakers report to me at headquarters.	O quartel de bombeiros de Rodier.	Depois do baile, todos os primeiro-Sargentos... mestres de quartel, sargentos de cavalaria ferradores, cozinheiros e padeiros... apresentem-se diante de mim no quartel general.
barrel	barril	A whole barrel.	And heads towards the castle, while the maid Jean, with the infant king still hidden in the wine cask, journeys towards the abbey, and safety for the child.	Está aí o barril.	a caminho do castelo, enquanto a jovem Jean, com o rei infantil escondido no barril de vinho, prossegue para a Abadia, para a segurança da criança.
barrel	barril	A whole barrel.	And heads towards the castle, while the maid Jean, with the infant king still hidden in the wine cask, journeys towards the abbey, and safety for the child.	Está aí o barril.	a caminho do castelo, enquanto a jovem Jean, com o rei infantil escondido no barril de vinho, prossegue para a Abadia, para a segurança da criança.
barrier	barreira	Alright there, open up.	I just put her head in a bag, tied her up a bit left her behind a hedge and then I went about my business.	Abram a barreira.	Eu,só enfiei a cabeça dela no saco, atei-a um pouco... e deixei-a atrás da barreira e fui-me embora.
barrier	barreira	Alright there, open up.	I just put her head in a bag, tied her up a bit left her behind a hedge and then I went about my business.	Abram a barreira.	Eu,só enfiei a cabeça dela no saco, atei-a um pouco... e deixei-a atrás da barreira e fui-me embora.
basalt	basalto				
base	base	No base ships.	It has been also decided at the conference that the Allies' land, sea and air forces, based on a greatest than ever before coordination of military efforts, would strike on fully agreed dates new, even more powerful blows at the heart of Germany.	Não há naves base.	Foi também decidido na conferência que as forças Aliadas de terra, mar e ar, com base numa coordenação maior do que nunca dos esforços militares, atingirá em datas acordadas totalmente novas, golpes mais poderosos no coração da Alemanha.
baseball	beisebol	It's a baseball league.	They threw me off the ball team because I was catching home runs at second base.	É uma liga de beisebol.	"Expulsaram-me da equipa de beisebol porque estava a apanhar ""home runs"" na segunda base."
basement	porão	Get down to the cargo hold.	And if the baby turns out to be a boy, they'll have you in a straitjacket... before you can say another Paternoster!	Desce para o porão.	E se resulta que seja menino, te porão a camisa de força... antes que possas dizer outro Paternoster!
basement	porão	Get down to the cargo hold.	And if the baby turns out to be a boy, they'll have you in a straitjacket... before you can say another Paternoster!	Desce para o porão.	E se resulta que seja menino, te porão a camisa de força... antes que possas dizer outro Paternoster!
bashful	tímido	Too shy.	He was very naive and very shy... and nervous. He didn't look at you when he spoke to you.	Muito tímido.	Ele era muito ingénuo, tímido... e nervoso, não olhando para nós quando falava connosco.
basic	básico	Take only the bare necessities.	OH NO, THAT'S ONLY A DUMMY MODEL OF THE STOLEN INTHERMO, BUT IT CAN BE USED TO DEMONSTRATE	Leve somente o básico.	Não, é só um modelo... da Intermo roubado... mas pode ser usada para demonstrar que o princípio básico... da concentricidade termal é válido.
Basil	Manjericão				
Basilica	Basílica	If that's what you think, why not turn the basilica into a playground?	If that's what you think, why not turn the basilica into a playground?	Se lhe parece, transforme também a Basílica num animatógrafo.	Se lhe parece, transforme também a Basílica num animatógrafo.
Basin	Bacia				
basket	cesta	What I'm throwing away is in the wastebasket.	The balsa, or basket boat... is constructed entirely of reeds tightly bound together.	O que estou jogando fora está na cesta de lixo.	A balsa, ou barco de cesta... é construída inteiramente com canas firmemente presas juntas.
basket	cesta	What I'm throwing away is in the wastebasket.	The balsa, or basket boat... is constructed entirely of reeds tightly bound together.	O que estou jogando fora está na cesta de lixo.	A balsa, ou barco de cesta... é construída inteiramente com canas firmemente presas juntas.
basketball	basquetebol	Tommy's at basketball practice.	The past? The future? Basketball?	O Tommy foi a um treino de basquetebol.	No passado, no futuro, em basquetebol...
Bat	Bastão	You tailor's yardstick, you sheath, you bowcase, you vile standing tuck!	You tailor's yardstick, you sheath, you bowcase, you vile standing tuck!	Bastão de alfaiate, verme, vadio, vil biltre!	Bastão de alfaiate, verme, vadio, vil biltre!
batalion	batalhão	I'll send up another truck company.	Acting in conjunction, Company A of the 753rd Tank Battalion .. To attack San Pietro from the east over the high road.	Vou enviar outro batalhão.	Atuando em conjunto, a companhia A do 753º batalhão de tanques atacaria San Pietro por este através da estrada elevada.
Bather	Banhista				
bathrobe	roupão de banho				
bathroom	banheiro	-To the bathroom.	She had to go to the bathroom a few times, hear three stories... and have a glass of water before she finally went to sleep.	-Ao banheiro.	Teve de ir ao banheiro várias vezes, ouvir três histórias... e beber um copo d'água antes de dormir.
Bathtub	Banheira				
Baton	Bastão	You tailor's yardstick, you sheath, you bowcase, you vile standing tuck!	You tailor's yardstick, you sheath, you bowcase, you vile standing tuck!	Bastão de alfaiate, verme, vadio, vil biltre!	Bastão de alfaiate, verme, vadio, vil biltre!
battery	bateria	more bang.	I'm sorry. It was my car. The battery went dead.	Quero mais bateria.	Peço desculpa, fiquei sem bateria no carro.
battery	bateria	more bang.	I'm sorry. It was my car. The battery went dead.	Quero mais bateria.	Peço desculpa, fiquei sem bateria no carro.
battery	bateria	more bang.	I'm sorry. It was my car. The battery went dead.	Quero mais bateria.	Peço desculpa, fiquei sem bateria no carro.
battle	batalha	No.	They filmed us for a newsreel that was shown in all the movie houses, because Oskar's experience at the Polish post office in Danzig went down in history as the first battle of World War ll.	Pensei também numa batalha campal entre 50 germanos e 50 negros de Marrocos.	Filmaram-nos para um noticiário, que passou em todos os cinemas... porque a experiência de Oskar nos correios de Danzig ficou na história como a primeira batalha da II Guerra Mundial.
Bay	Baía	"Tell him the headline reads ""Nazi U-boat —"""	Say, look, I got a man parachuting down into the Empress Augusta Bay. That's right.	"Lê-lhe o cabeçalho: ""Submarino Nazi afundado na Baía Hudson""."	Está a caír um homem na Baía Imperatriz Augusta.
be	ser	Boss!	Despite the recent and incredibly permissive laws... which protect the guilty man more than the innocent... the restraining measures of our police force are successful... in keeping at an acceptable minimum the outbreak of delinquency... in a city, or in a society, where protest movements, drugs... and a desire for wealth... are actually regarded as legitimate goals.	Deve ser de San Francisco ou Seattle.	Apesar das novas leis, que têm sido bastante permissivas, e que tendem a proteger os culpados mais do que os inocentes, a acção firme da nossa polícia conseguiu manter dentro de limites aceitáveis o grau de criminalidade numa cidade, aliás, numa sociedade, em que os protestos, a droga, e a interminável busca do prazer parecem ser as únicas coisas que interessam os jovens de hoje.
beach	de praia				
beak	bico	....why ?	Because if I was a doctor and I wanted to give the world an enema I'd stick the nozzle right here in Dallas, Texas.	Cale o bico.	Porque se eu fosse um médico e quizesse dar ao mundo um clister Eu enfiaria o bico aqui em Dallas, Texas.
bean	feijão	Beans, beans, beans.	"""Chicken a la king, potato au gratin, string beans... ""cauliflower, a glass of milk and caramel ice cream... with hot chocolate sauce,"" sir?"	Feijão, feijão, feijão.	Galinha a Ia King, batatas gratinadas, feijão verde, couve-flor, um copo de leite e gelado de caramelo.
Bear	Urso	"Ghost Bear ""?"	Digging Bear had a baby and lost it, and so did Corn Woman.	O Urso Fantasma?	A Urso Coveiro teve um bebé e perdeu-o, e a Mulher do Milho também.
Beard	Barba	Redbeard, indeed!	Henry Morgan, Captain Kidd, Ann Bonney, Ben Avery, Blackbeard.	Barba Ruiva, de facto!	Henry Morgan, Capitão Kidd, Ann Bonney, Ben Avery, Barba Negra.
beautiful	lindo	It's okay.	Play on, musicians, for the parents-in-law... This is Jewish. ...for the groom.	Que lindo chapéu.	Toquem, músicos, para os sogros... para a querida noiva para o lindo noivo.
beauty	beleza	Beautiful	Everybody in the car, test drive with Toby... we're going for a test drive with Toby, that's right... so, Al, listen, this baby's got a big engine... a lot of power, big v8.	Uma beleza.	Todos no carro para uma volta com o Toby... Vamos experimentar o carro com o Toby, isso mesmo... Al, ouça, esta beleza tem um grande motor...
because	Porque	Good!	So I had to order our planes to attack... because I didn't have the moral right... to sacrifice our men... for the protection of Mr. Allende's private guards... who were nothing but professional agitators... who had been trained abroad.	Porque quer que partamos?	Assim, tive que ordenar o ataque aéreo. Porque não tinha o direito, moralmente, de sacrificar os nossos soldados para poupar a guarda do Sr. Allende, que não eram senão agitadores profissionais. Treinados no estrangeiro.
bed	cama	A bed	Despite his wound, and bent on revenge against the knight, the captain wagered his fellow officers that he could bring Dona Elvira's mortal remains to his bed.	Uma cama	Apesar de ferido, para se vingar do cavaleiro, o capitão apostou com os restantes oficiais que iria trazer para a sua cama os restos mortais de D. Elvira.
Bee	Abelha				
beef	carne	-Skirt is meat.	Lord in His Grace has cast His blessings on our nation by placing just one step from the throne a wise and prudent advisor, a man of the peasantry who has the intelligence Of all hope bereft.	O peito é carne.	Como é generoso Deus que colocou ao lado do portador da Coroa da nossa Pátria um conselheiro tão sábio, carne da carne, sangue do sangue do povo mártir O caminho é interminável.
beef	carne	-Skirt is meat.	Lord in His Grace has cast His blessings on our nation by placing just one step from the throne a wise and prudent advisor, a man of the peasantry who has the intelligence Of all hope bereft.	O peito é carne.	Como é generoso Deus que colocou ao lado do portador da Coroa da nossa Pátria um conselheiro tão sábio, carne da carne, sangue do sangue do povo mártir O caminho é interminável.
beer	Cerveja	White beer?	Why so soon,what about me,who is been standing for such a long time	Cerveja branca ?	Cerveja.
beet	beterraba	The sailors refused to eat the borscht.	The sailors refused to eat the borscht.	Os marinheiros recusaram-se a comer a sopa de beterraba.	Os marinheiros recusaram-se a comer a sopa de beterraba.
beetle	besouro				
before	antes da				
before	antes da				
before	antes da				
Beggar	Mendigo				
beginner	principiante	Well, I'm only a beginner, really.	For a beginner such as yourself Is that you put your alarm clock back ten minutes in the morning So you can wake up, look at the clock	Sou principiante.	O que sugerimos para um principiante como o senhor é que atrase o seu despertador dez minutos de manhã para acordar, olhar para o relógio e utilizar a expressão imediatamente.
begin	começar	Gant.	Pictures and tapes starting with the cat who tried to take my seat on the bus in Addis ending right here in Paris with a little gopher named Perreau.	Não estou a começar uma luta contigo, Gant.	Fotografias e gravações, a começar pelo tipo que tentou matar-me no autocarro em Adis Abeba... e a acabar aqui em Paris com um criado chamado Perreau.
behavior	comportamento	Human behavior:	In certain quarters, the rebellious behavior of a lot of dumb animals caused indignation and much conversation, but nothing was done about it for the drunken Mr Jones and his cronies did not know what to do.	É comportamento humano.	Em certos meios o comportamento rebelde de muitos estúpidos animais... causava indignação e muita conversa, mas nada era feito para contrariar. Porque o bêbado Sr. Jones e os seus compinchas não sabiam que fazer.
behind	atras do				
Beige	Bege				
believe	acreditam	They don't believe you.	There are those who believe that life here began out there, far across the universe, with tribes of humans who may have been the forefathers of the Egyptians or the Toltecs, or the Mayans, that they may have been the architects of the great pyramids, or the lost civilizations of Lemuria or Atlantis.	Não acreditam em ti.	Há os que acreditam... que a vida aqui começou lá... lá longe no universo... com tribos de humanos... que podem ter sido os antepassados dos Egípcios... ou dos Toltecas... ou dos Maias-que podem ter sido os arquitectos das grandes pirâmides... ou das civilizações perdidas da Lemuria... ou da Atlântida.
believer	crente	"And the word for you is still ""gullible."""	When you get down there, you tell them Swamper Gilchrist was the one that made you a believer.	Quanto a ti, diria que continuas a ser um crente.	Quando chegares lá abaixo, diz-lhes que... foi o Swamper Gilchrist que te tornou num crente.
bell	Sino	Bells ringing	In addition, a full-size replica of the Liberty Bell has been made from pennies donated by schoolchildren from every state in the Union.	Sino a tanger	Construiu-se uma réplica em tamanho natural do Sino com centavos doados por estudantes de todos os estados da nação.
bell	Sino	Bells ringing	In addition, a full-size replica of the Liberty Bell has been made from pennies donated by schoolchildren from every state in the Union.	Sino a tanger	Construiu-se uma réplica em tamanho natural do Sino com centavos doados por estudantes de todos os estados da nação.
bell	Sino	Bells ringing	In addition, a full-size replica of the Liberty Bell has been made from pennies donated by schoolchildren from every state in the Union.	Sino a tanger	Construiu-se uma réplica em tamanho natural do Sino com centavos doados por estudantes de todos os estados da nação.
