English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Address	address	Here's my address.	What's your address?	Aqui está o meu endereço.	Qual é o seu endereço?
Adjective	adjective				
Administration	administration				
Administration	administration				
Administrative	administrative				
Admiring	admire	I admire you.	I admire his talent.	Eu te admiro.	Admiro o talento dele.
Adolescence	adolescence				
Adolescence	adolescence				
Adorable	adorable	He's adorable.	The cat is adorable.	Ele é adorável.	O gato é adorável.
Adult	adult	Adults only.	Tom is an adult now.	Só para adultos.	Tom é um adulto agora.
Advantage	advantage				
Advantageous	advantageous				
Adverb	Adverb	Use adverbs.	This is an adverb.	Usem os advérbios.	Isto é um advérbio.
Advertising	advertising				
Advice	advice	I need advice.	We need your advice.	Eu preciso de aconselhamento.	Precisamos do teu conselho.
Aerodrome	aerodrome				
Aerodrome	aerodrome				
Aerosol	aerosol				
Aerospace	aerospace				
Aerospatial	aerospatial				
Affect	affect	War affects us all.	Will this affect me?	A guerra afeta a todos nós.	Isto vai me afetar?
Affectionately	affectionately				
Afghan	afghan				
Afghanistan	Afghanistan				
Afraid	afraid	I'm afraid.	He is afraid of him.	Estou com medo.	Ele está com medo dele.
Africa	Africa				
After	after	After you.	Tom left soon after.	Depois de você.	Tom foi logo depois.
After	after	After you.	Tom left soon after.	Depois de você.	Tom foi logo depois.
After	after	After you.	Tom left soon after.	Depois de você.	Tom foi logo depois.
After	after	After you.	Tom left soon after.	Depois de você.	Tom foi logo depois.
Afternoon	Afternoon	Good afternoon.	I work afternoons.	Boa tarde.	Eu trabalho à tarde.
Again	again	Again.	Tom came here again.	Outra vez.	Tom veio aqui de novo.
Again	again	Again.	Tom came here again.	Outra vez.	Tom veio aqui de novo.
Ages	age	"Age? ""16."""	She is about my age.	"Idade? ""16"""	Ela tem mais ou menos a minha idade.
Aggression	aggression				
Aggressive	aggressive	He is aggressive.	He is aggressive.	Ele é agressivo.	Ele é agressivo.
Aggressiveness	Aggressiveness				
Agile	agile				
Agitated	Agitated	Tom is agitated.	Tom became agitated.	Tom está agitado.	Tom ficou agitado.
Agitation	agitation				
Ago	ago	Just a week ago.	How long ago was it?	Há apenas uma semana.	Há quanto tempo foi isso?
Agreement	agreement	We're in agreement.	We had an agreement.	Estamos de acordo.	Nós tínhamos um acordo.
Agriculture	agriculture				
Air	air	I need air.	Our air is polluted.	Eu preciso de ar.	Nosso ar está poluído.
Air-balloon	air	I need air.	Our air is polluted.	Eu preciso de ar.	Nosso ar está poluído.
Airplane	airplane	I saw an airplane.	We saw the airplane.	Vi um avião.	Vimos o avião.
Airport	airport	I'm at the airport.	Where's the airport?	Estou no aeroporto.	Onde fica o aeroporto?
Airport	airport	I'm at the airport.	Where's the airport?	Estou no aeroporto.	Onde fica o aeroporto?
Alarm	alarm	Tom got alarmed.	I hate alarm clocks.	Tom ficou alarmado.	Eu odeio despertadores.
Alarm	alarm	Tom got alarmed.	I hate alarm clocks.	Tom ficou alarmado.	Eu odeio despertadores.
Alarming	alarming				
Albatross	albatross				
Alcohol	alcohol	I drink alcohol.	It contains alcohol.	Eu bebo álcool.	Isso contém álcool.
Alcoholism	alcoholism				
Algebra	Algebra				
Algeria	Algeria	Where's Algeria?	God bless Algeria.	Onde fica a Argélia?	Deus abençoe a Argélia.
Alibi	Alibi	I have an alibi.	I have an alibi.	Eu tenho um álibi.	Eu tenho um álibi.
Alike	alike	We think alike.	They all look alike.	Nós pensamos igual.	Todas elas se parecem.
Alive	alive	I'm alive.	I'm sure he's alive.	Estou vivo.	Tenho certeza de que está vivo.
Allergy	allergy	I have allergies.	I have no allergies.	Eu tenho alergias.	Não tenho alergias.
Alley	alley				
Alliance	alliance				
Alligator	alligator				
Almond	Almond				
Almost	almost	Almost.	I almost died today.	Quase.	Quase morri hoje.
Almost	almost	Almost.	I almost died today.	Quase.	Quase morri hoje.
Along	along	Come along.	I knew it all along.	Vem conosco.	Eu sempre soube.
Alps	Alps				
Also	also	I also went.	This is also untrue.	Eu também fui.	Isso também é falso.
Alternately	alternately				
Alternative	alternative				
Aluminum	aluminum	Aluminum is a metal.	Aluminum is a metal.	O alumínio é um metal.	O alumínio é um metal.
Always	always	I always win.	Tom is always right.	Eu sempre ganho.	Tom sempre tem razão.
Amateur	amateur	They're amateurs.	They're amateurs.	Eles são amadores.	Eles são amadores.
Amazon	Amazon				
Ambassador	ambassador	I am an ambassador.	I am an ambassador.	Sou embaixador.	Sou embaixador.
Ambidextrous	ambidextrous	I'm ambidextrous.	We're ambidextrous.	Sou ambidestro.	Somos ambidestros.
Ambition	ambition	He had ambition.	He had ambition.	Ele tinha ambição.	Ele tinha ambição.
Ambitious	ambitious	You're ambitious.	Tom seems ambitious.	Você é ambicioso.	Tom parece ambicioso.
Ambulance	ambulance	Call an ambulance.	Call an ambulance.	Chamem uma ambulância.	Chame uma ambulância.
Ambush	ambush	They ambushed us.	They were ambushed.	Eles nos emboscaram.	Eles estavam encurralados.
Ambush	ambush	They ambushed us.	They were ambushed.	Eles nos emboscaram.	Eles estavam encurralados.
American	american	I am American.	I'm not an American.	Eu sou americano.	Não sou americano.
Amicably	amicably				
Ammunition	ammunition				
Amnesia	amnesia	I have amnesia.	I have amnesia.	Eu tenho amnésia.	Eu tenho amnésia.
Among	among	They are among us!	Aliens are among us!	Eles estão entre nós!	Há extraterrestres entre nós!
Amount	amount				
Amphibian	amphibian				
Amphora	Amphora				
Amputation	amputation				
Amusing	amusing				
Analysis	analysis				
Analysis	analysis				
Anarchistic	anarchistic				
Anarchy	anarchy				
Anatomy	anatomy				
Anatomy	anatomy				
Anchor	Anchor	Drop the anchor!	Drop the anchor!	Lance a âncora!	Lance a âncora!
Anchovy	anchovy				
Andes	Andes				
Anesthesia	anesthesia				
Angel	angel	You're an angel!	Tom isn't an angel.	Você é um anjo!	Tom não é nenhum anjo.
Anger	anger	Tom's anger faded.	Tom's anger faded.	A raiva de Tom passou.	A raiva de Tom passou.
Angle	Angle				
Angry	angry	I'm angry.	Are you still angry?	Estou com raiva.	Vocês ainda estão com raiva?
Angry	angry	I'm angry.	Are you still angry?	Estou com raiva.	Vocês ainda estão com raiva?
Angry	angry	I'm angry.	Are you still angry?	Estou com raiva.	Vocês ainda estão com raiva?
Anguish	anguish				
Animal	animal	Animals run.	This animal is mine.	Os animais correm.	Este animal é meu.
Animist	animist				
Ankle	ankle	I twisted my ankle.	He broke his ankle.	Eu torci o tornozelo.	Ele quebrou o tornozelo.
Annoying	annoying	How annoying!	Tom's very annoying.	Que chato!	Tom é muito chato.
Annual	annual				
Annular	annular				
Anonymous	Anonymous				
Answer	answer	Answer me.	Can you answer that?	Respondam-me.	Sabes responder?
Answer	answer	Answer me.	Can you answer that?	Respondam-me.	Sabes responder?
Ant	Ant	The ant was red.	Do ants have ears?	A formiga era vermelha.	As formigas têm ouvidos?
Antarctica	Antarctica				
Antelope	antelope				
Antenna	antenna				
Anthem	Anthem				
Anti-Semitic	anti				
Anti-aircraft	anti				
Anti-inflammatory	anti				
Antibiotic	antibiotic				
Antibody	antibody				
Antidepressant	antidepressant				
Antiseptic	antiseptic				
Antisocial	antisocial	He's antisocial.	He is antisocial.	Ele é antissocial.	Ele é antissocial.
Anxiety	anxiety				
Anxiety	anxiety				
Anxiety	anxiety				
Anxiolytic	anxiolytic				
Anxious	anxious	I was anxious.	I'm a bit anxious.	Eu estava ansioso.	Estou um pouco ansioso.
Any	any	Any time.	Are any of you hurt?	A qualquer hora.	Algum de vocês se machucou?
Anyone	anyone	Anyone home?	Anyone can say that.	Tem alguém em casa?	Qualquer um pode dizer isto.
Anyway	anyway	Anyway.	They did it anyway.	De qualquer forma.	Eles fizeram mesmo assim.
Anywhere	anywhere	I sleep anywhere.	I can't go anywhere.	Eu durmo em qualquer lugar.	Eu não posso ir a lugar nenhum.
Apartment	apartment	I'm in my apartment.	I like my apartment.	Estou no meu apartamento.	Gosto do meu apartamento.
Aperitif	aperitif				
Apologize	apologize	I apologize.	Tom won't apologize.	Perdão.	O Tom não vai pedir desculpas.
Apostrophe	Apostrophe				
Appeal	appeal				
Appendicitis	appendicitis	I have appendicitis.	I have appendicitis.	Eu tenho apendicite.	Tenho apendicite.
Appetite	Appetite	I have no appetite.	I have no appetite.	Estou sem apetite.	Estou sem apetite.
Appetite	Appetite	I have no appetite.	I have no appetite.	Estou sem apetite.	Estou sem apetite.
Applaud	applaud	Tom applauded.	Everybody applauded.	Tom aplaudiu.	Todo mundo aplaudiu.
Apple	apple	I ate apples.	It's a yellow apple.	Eu comi maçãs.	É uma maçã amarela.
Appliance	appliance				
Appointment	appointment				
Apprehension	apprehension				
Approval	approval				
Approval	approval				
Apricot	Apricot	This is an apricot.	This is an apricot.	Isto é um alperce.	Isto é um alperce.
April	April	April Fool's!	It's April first.	Primeiro de abril!	É primeiro de abril.
Apron	Apron	Tie the apron.	Tie the apron.	Amarre o avental.	Amarre o avental.
Arab	arab	Fadil is Arab.	Are you an Arab?	Fadil é árabe.	Vocês são árabes?
Arabic	arabic	I love Arabic.	I'm learning Arabic.	Eu amo árabe.	Estou aprendendo árabe
Archbishop	archbishop				
Archeology	archeology				
Archery	archery				
Archipelago	Archipelago				
Are	be	I am!	Is this color brown?	Eu sou.	Essa cor é marrom?
Area	area	I know the area.	Are you in the area?	Eu conheço a região.	Você está na área?
Area	area	I know the area.	Are you in the area?	Eu conheço a região.	Você está na área?
Area	area	I know the area.	Are you in the area?	Eu conheço a região.	Você está na área?
Argentina	Argentina				
Argument	argument				
Argument	argument				
Argument	argument				
Aristocracy	aristocracy				
Arm	arm	My arm hurts.	Tom died in my arms.	O meu braço está doendo.	Tom morreu em meus braços.
Armchair	armchair				
Armpits	armpit				
Army	army	I miss the army.	He entered the army.	Sinto falta do exército.	Ele entrou no exército.
Army	army	I miss the army.	He entered the army.	Sinto falta do exército.	Ele entrou no exército.
Around	around	Ask around.	See you around, Tom.	Pergunte por aí.	Te vejo por aí, Tom.
Around	around	Ask around.	See you around, Tom.	Pergunte por aí.	Te vejo por aí, Tom.
Around	around	Ask around.	See you around, Tom.	Pergunte por aí.	Te vejo por aí, Tom.
Around	around	Ask around.	See you around, Tom.	Pergunte por aí.	Te vejo por aí, Tom.
Arrest	arrest	I was arrested.	You're under arrest!	Eu fui preso.	Você está preso!
Arrested	arrest	I was arrested.	You're under arrest!	Eu fui preso.	Você está preso!
Arrivals	arrival				
Arrive	arrive	Arrive home.	He arrived at three.	Chegue em casa.	Ele chegou às três.
Arrogance	arrogance				
Arrogant	arrogant	How arrogant!	Tom seems arrogant.	Que arrogante!	Tom parece arrogante.
Arrow	arrow				
Artery	artery				
Arthritis	arthritis	Tom has arthritis.	Tom has arthritis.	Tom tem artrite.	Tom tem artrite.
Artichoke	artichoke				
Article	article	Read the article.	I read the article.	Lê o artigo.	Eu li o artigo.
Artillery	artillery				
Artist	artist	I'm an artist.	He is a born artist.	Sou um artista.	Ele é um artista nato.
Ashtray	Ashtray	I need an ashtray.	I need an ashtray.	Eu preciso de um cinzeiro.	Eu preciso de um cinzeiro.
Asia	Asia	I'm from Asia.	Thailand is in Asia.	Eu sou da Ásia.	A Tailândia fica na Ásia.
Asparagus	asparagus	I hate asparagus.	I hate asparagus.	Eu odeio aspargos.	Eu odeio aspargos.
Asset	asset				
Assistant	assistant	I'm an assistant.	I'm an assistant.	Sou balconista.	Sou balconista.
Associative	associative				
Astigmatic	astigmatic				
Astronomy	astronomy	I love astronomy.	What is astronomy?	Eu amo Astronomia.	O que é a astronomia?
Asylum	asylum				
Atelier	Atelier				
Atheistic	atheistic				
Athlete	athlete	I'm an athlete.	I am not an athlete.	Eu sou um atleta.	Eu não sou um atleta.
Athletics	athletic	I'm athletic.	Tom isn't athletic.	Eu sou atlético.	Tom não é atlético.
Athletics	athletic	I'm athletic.	Tom isn't athletic.	Eu sou atlético.	Tom não é atlético.
Atlantic	Atlantic				
Atmosphere	atmosphere				
Atmosphere	atmosphere				
Atoll	atoll				
Atom	atom				
Atomic	atomic				
Atrocity	atrocity				
Attack	attack	Attack!	Mennad was attacked.	Atacar!	Mennad foi atacada.
Attempt	attempt				
Attentive	attentive	I'm attentive.	I'm attentive.	Estou atento.	Estou atenta.
Attitude	attitude				
Attractive	attractive	She is attractive.	You're attractive.	Ela é bonita.	Você é atraente.
Audience	audience				
August	August				
Aunt	aunt	Aunt, this is Tom.	My aunt looks young.	Tia, este é o Tom.	Minha tia parece jovem.
Austerity	austerity				
Australia	Australia	I love Australia.	We met in Australia.	Amo a Austrália.	Nós nos conhecemos na Austrália.
Author	author	He's an author.	Who is the author?	Ele é escritor.	Quem é o autor?
Authoritarian	authoritarian				
Authority	authority				
Autism	autism				
Autograph	autograph				
Autograph	autograph				
Automated	automate				
Automatically	automatically				
Autonomy	autonomy				
Autonomy	autonomy				
Autopsy	autopsy				
Available	available	I'm available.	He is not available.	Estou disponível.	Ele não está disponível.
Available	available	I'm available.	He is not available.	Estou disponível.	Ele não está disponível.
Avalanche	avalanche				
Avenue	avenue				
Aviation	aviation				
Aviator	aviator				
Avocado	avocado	Avocado is a fruit.	Avocado is a fruit.	O abacate é uma fruta.	O abacate é uma fruta.
Avoid	avoid	He avoids me.	Are you avoiding me?	Ele evita-me.	Está me evitando?
Awake	awake	I'm awake.	Tom and I are awake.	Estou acordado.	Eu e Tom estamos acordados.
Awful	awful	How awful!	That must be awful.	Que terrível!	Aquilo deve ser chato.
Ax	ax	Tom got the ax.	Tom got the ax.	Tom pegou o machado.	Tom pegou o machado.
Axis	axis				
Aztec	aztec				
Baby	baby	You're a baby.	I cried like a baby.	Você é um bebê.	Eu chorei feito bebê.
Back	back	Back off.	We should turn back.	Recue.	Devemos voltar atrás.
Back	back	Back off.	We should turn back.	Recue.	Devemos voltar atrás.
Back	back	Back off.	We should turn back.	Recue.	Devemos voltar atrás.
Bacterium	bacterium				
Badge	Badge	Show me your badge.	Where is your badge?	Mostre-me o seu distintivo.	Onde está seu crachá?
Badger	badger				
Bag	bag	I need a bag.	We checked our bags.	Preciso de uma bolsa.	Nós checamos as nossas bolsas.
Bag-to-back	Bag	I need a bag.	We checked our bags.	Preciso de uma bolsa.	Nós checamos as nossas bolsas.
Bagpipes	bagpipe				
Baguette	Baguette				
Baker's	Baker	I'm a baker.	Tom isn't a baker.	Eu sou padeiro.	Tom não é padeiro.
Balance	balance	He kept his balance.	He kept his balance.	Ele manteve o equilíbrio.	Ele manteve o equilíbrio.
Balanced	balanced				
Bald	bald	I'm bald.	Is your father bald?	Sou careca.	O teu pai é careca?
Baldness	Baldness				
Ball	ball	Kick the ball.	Tom tossed the ball.	Chute a bola.	Tom jogou a bola.
Ball	ball	Kick the ball.	Tom tossed the ball.	Chute a bola.	Tom jogou a bola.
Ballet	ballet				
Ban	Ban				
Banana	Banana	I eat a banana.	I'm eating a banana.	Como uma banana.	Estou comendo uma banana.
Band	Band	I play in a band.	I wish I had a band.	Eu toco em uma banda.	Eu queria ter uma banda.
Bandage	bandage				
Bandage	bandage				
Bangladesh	bangladesh				
Bank	bank	Is that a bank?	Tom called the bank.	Aquilo é um banco?	Tom ligou para o banco.
Bank	bank	Is that a bank?	Tom called the bank.	Aquilo é um banco?	Tom ligou para o banco.
Bank	bank	Is that a bank?	Tom called the bank.	Aquilo é um banco?	Tom ligou para o banco.
Bank	bank	Is that a bank?	Tom called the bank.	Aquilo é um banco?	Tom ligou para o banco.
Baobab	Baobab				
Baptism	baptism				
Baptize	baptize				
Bar	bar	At the bar.	Is the bar open yet?	No bar.	O bar ainda está aberto?
Barbecue	barbecue	I love barbecue.	No barbecues here.	Eu adoro churrasco.	Sem churrascos aqui.
Barely	barely	Tom barely ate.	Tom can barely move.	Tom mal comeu.	Tom mal consegue se mover.
Bark	Bark	Dogs bark.	Is it barking a lot?	Cães latem.	Ela está latindo muito?
Bark	Bark	Dogs bark.	Is it barking a lot?	Cães latem.	Ela está latindo muito?
Bark	Bark	Dogs bark.	Is it barking a lot?	Cães latem.	Ela está latindo muito?
Barking	bark	Dogs bark.	Is it barking a lot?	Cães latem.	Ela está latindo muito?
Barn	Barn	The barn is empty.	Tom hid in the barn.	O celeiro está vazio.	Tom se escondeu no celeiro.
Barometer	barometer				
Baron	Baron				
Barrack	Barrack				
Barrel	barrel				
Barrel	barrel				
Barrier	barrier				
Barrier	barrier				
Basalt	basalt				
Base	base	Tom has a good base.	Tom has a good base.	Tom tem uma boa base	Tom tem uma boa base
Baseball	baseball	I play baseball.	Let's play baseball!	Eu jogo beisebol.	Vamos jogar beisebol.
Basement	basement				
Basement	basement				
Bashful	bashful				
Basic	basic	This is basic.	This is basic.	Isso é básico.	Isso é básico.
Basil	Basil				
Basilica	Basilica				
Basin	Basin				
Basket	basket				
Basket	basket				
Basketball	basketball	I like basketball.	I like basketball.	Eu gosto de basquetebol.	Eu gosto de basquetebol.
Bat	Bat	Is that a bat?	I'm afraid of bats.	Aquilo é um morcego?	Eu tenho medo de morcegos.
Batalion	batalion				
Bather	Bather				
Bathrobe	bathrobe				
Bathroom	bathroom	I'm in the bathroom.	I'm in the bathroom.	Estou no banheiro.	Estou no banheiro.
Bathtub	Bathtub	I'm in the bathtub.	I'm in the bathtub.	Estou na banheira.	Estou na banheira.
Baton	Baton				
Battery	battery	My battery died.	Your battery is low.	A minha bateria acabou.	A sua bateria está fraca.
Battery	battery	My battery died.	Your battery is low.	A minha bateria acabou.	A sua bateria está fraca.
Battery	battery	My battery died.	Your battery is low.	A minha bateria acabou.	A sua bateria está fraca.
Battle	battle	I am my battles.	They died in battle.	Eu sou minhas lutas.	Elas morreram em combate.
Bay	Bay				
Be	be	I am!	Is this color brown?	Eu sou.	Essa cor é marrom?
Beach	beach	I'm at the beach.	I went to the beach.	Estou na praia.	Eu fui à praia.
Beak	beak	Shut your beak!	Birds have beaks.	Feche seu bico!	Os pássaros têm bicos.
Beans	bean	I hate beans.	Tom is a bean pole.	Eu odeio feijão.	Tom é um varapau.
Bear	Bear	Is it a bear?	When were they born?	É um urso?	Quando elas nasceram?
Beard	Beard	He has a beard.	I have a long beard.	Ele tem barba.	Minha barba é comprida.
Beautiful	beautiful	So beautiful!	Greece is beautiful.	Tão bonito!	A Grécia é linda.
Beauty	beauty	What a beauty!	What good is beauty?	Que maravilha!	Para que serve a beleza?
Because	because	Because I love you.	Because I love you.	Porque te amo.	Porque eu te amo.
Bed	bed	Go to bed!	Come to bed with me.	Vá para cama!	Deite-se comigo.
Bee	Bee	Bees sting.	I ate all your bees.	As abelhas picam.	Comi todas as suas abelhas.
Beef	beef	I love beef.	This beef is tender.	Eu amo carne de boi.	Esta carne bovina está macia.
Beef	beef	I love beef.	This beef is tender.	Eu amo carne de boi.	Esta carne bovina está macia.
Beer	beer	I like beer.	I seldom drink beer.	Eu gosto de cerveja.	Eu raramente bebo cerveja.
Beet	beet	I don't like beets.	I don't like beets.	Eu não gosto de beterraba.	Eu não gosto de beterraba.
Beetle	beetle				
Before	before	Before my time!	Think before acting!	Não é da minha época!	Pense antes de agir!
Before	before	Before my time!	Think before acting!	Não é da minha época!	Pense antes de agir!
Before	before	Before my time!	Think before acting!	Não é da minha época!	Pense antes de agir!
Beggar	Beggar				
Beginner	beginner	I'm a beginner.	I'm a beginner, too.	Eu sou iniciante.	Também sou um principiante.
Beginning	begin	Begin!	When will you begin?	Comece!	Quando você vai começar?
Behavior	behavior				
Behind	behind	I'm behind him.	They are behind you.	Eu estou na cola dele.	Elas estão atrás de ti.
Beige	Beige				
Believe	believe	Believe.	She believes in God.	Acredita.	Ela crê em Deus.
Believer	believer	I'm a believer.	Are you a believer?	Sou um crente.	Você é crente?
Bell	bell	Ring the bell.	The bell is ringing.	Toque o sino.	A campainha está tocando.
Bell	bell	Ring the bell.	The bell is ringing.	Toque o sino.	A campainha está tocando.
Bells	bell	Ring the bell.	The bell is ringing.	Toque o sino.	A campainha está tocando.
Belly	belly	I have a beer belly.	I have a beer belly.	Tenho uma barriga de cerveja.	Eu tenho uma barriga de cerveja.
Belt	Belt	His belt is black.	His belt is black.	O cinto dele é preto.	O cinto dele é preto.
Bend	bend	He bent his back.	She bent forward.	Ele curvou as costas.	Ela dobrou-se para frente.
Benefits	benefit				
Bent	bent				
Bet	bet	I made a bet.	I bet you're hungry.	Eu fiz uma aposta.	Aposto que está com fome.
Betrayal	betrayal				
Between	between				
Beyond	beyond				
Bible	bible	Who wrote the Bible?	It's from the Bible.	Quem escreveu a Bíblia?	É da Bíblia.
Bibliography	bibliography				
Biceps	bicep				
Bike	bike	I bike to work.	This is my old bike.	Eu vou trabalhar de bicicleta.	Esta é a minha bicicleta velha.
Bikini	Bikini				
Bilingual	Bilingual	I'm bilingual.	Are you bilingual?	Sou bilíngue.	Você é bilíngue?
Bill	bill	Come on, Bill.	Do you pay my bills?	Vamos, Bill.	Você paga minhas contas?
Bill	bill	Come on, Bill.	Do you pay my bills?	Vamos, Bill.	Você paga minhas contas?
Binder	Binder				
Binoculars	binocular				
Biochemistry	biochemistry				
Biodiversity	biodiversity				
Biography	biography				
Biologist	biologist	He is a biologist.	Tom is a biologist.	Ele é biólogo.	Tom é biólogo.
Biology	biology				
Bird	bird	Birds fly.	I can't draw a bird.	Pássaros voam.	Eu não sei desenhar um pássaro.
Birth	birth	I use birth control.	I use birth control.	Eu faço controle de natalidade.	Eu faço controle de natalidade.
Birthday	birthday	Happy birthday!	Happy birthday, Tom.	Feliz aniversário!	Feliz aniversário, Tom!
Biscuit	biscuit				
Bishop	Bishop				
Bison	bison				
Bistro	Bistro				
Bite	bite	She bit him.	My dog doesn't bite.	Ela o mordeu.	Meu cachorro não morde.
Bite	bite	She bit him.	My dog doesn't bite.	Ela o mordeu.	Meu cachorro não morde.
Bitter	bitter	It's so bitter.	It's very bitter.	É muito amargo.	É muito amargo.
Bitumen	bituman				
Black	black	Mine is black.	Tom had a black cat.	O meu é preto.	Tom teve um gato preto.
Blackbird	Blackbird	It's a blackbird.	It's a blackbird.	É um melro.	É um melro.
Bladder	bladder				
Blades	blade				
Blasphemy	Blasphemy				
Blast	blast	We had a blast.	I'm having a blast.	Nós nos divertimos bastante.	Estou me divertindo.
Blast	blast	We had a blast.	I'm having a blast.	Nós nos divertimos bastante.	Estou me divertindo.
Bleat	bleat				
Bleed	bleed	I'm bleeding.	You aren't bleeding.	Estou sangrando.	Você não está sangrando.
Bless	Bless	Bless you.	Bless someone today.	Saúde.	Abençoe alguém hoje.
Blinding	blind	I'm blind.	Are you color blind?	Sou cega.	Você é daltônico?
Blindness	blindness				
Blinker	blinker				
Blinkers	blinker				
Blockade	Blockade				
Blood	blood	Donate blood.	Tom is losing blood.	Doe sangue.	Tom está perdendo sangue.
Blood	blood	Donate blood.	Tom is losing blood.	Doe sangue.	Tom está perdendo sangue.
Blood	blood	Donate blood.	Tom is losing blood.	Doe sangue.	Tom está perdendo sangue.
Blue	blue	Is it blue?	Why is Neptune blue?	É azul?	Por que Netuno é azul?
Blueberry	Blueberry	I love blueberries!	I love blueberries!	Adoro mirtilos!	Adoro mirtilos!
Blurry	Blurry				
Boa	boa				
Boar	boar				
Board	board	Is Tom on board?	I boarded the plane.	Tom está a bordo?	Embarquei no avião.
Boarding	boarding				
Boat	boat	I'm on a boat.	I got into the boat.	Estou num bote.	Eu subi no barco.
Body	body	No body.	She has a nice body.	Nenhum corpo.	Ela tem um bonito corpo.
Body	body	No body.	She has a nice body.	Nenhum corpo.	Ela tem um bonito corpo.
Bodyguard	Bodyguard				
Boil	boil	Boil one egg.	I want a boiled egg.	Cozinhe um ovo.	Eu quero um ovo cozido.
Boiler	boiler				
Boiling	boil	Boil one egg.	I want a boiled egg.	Cozinhe um ovo.	Eu quero um ovo cozido.
Bold	Bold	Tom is bold.	Tom is bold.	Tom é ousado.	Tom é ousado.
Bolt	bolt	Tom bolted the door.	Tom bolted the door.	O Tom trancou a porta.	O Tom trancou a porta.
Bomb	bomb	I have a bomb.	It's a time bomb.	Eu tenho uma bomba.	É uma bomba relógio.
Bomb	bomb	I have a bomb.	It's a time bomb.	Eu tenho uma bomba.	É uma bomba relógio.
Bomber	bomber				
Bombing	bombing				
Bombing	bombing				
Bone	bone	No bones broken.	No bone was broken.	Sem ossos quebrados.	Nenhum osso estava quebrado.
Book	book	Read a book!	I'll read this book.	Leia um livro!	Eu irei ler este livro.
Book	book	Read a book!	I'll read this book.	Leia um livro!	Eu irei ler este livro.
Booked	book	Read a book!	I'll read this book.	Leia um livro!	Eu irei ler este livro.
Bookstore	bookstore				
Boots	boot	Put your boots on.	Put your boots on.	Calce sua botas.	Calce sua botas.
Border	border	Down with borders!	Down with borders!	Abaixo as fronteiras!	Abaixo as fronteiras!
Bored	bored	I'm bored.	You look very bored.	Estou chateado.	Você parece muito entediado.
Boredom	boredom				
Boring	boring	I'm boring.	This game is boring.	Sou chato.	Esse jogo é chato.
Borrow	borrow	I borrow money.	Tom borrowed my car.	Eu pego dinheiro emprestado.	Tom pegou o meu carro emprestado.
Borrowing	borrow	I borrow money.	Tom borrowed my car.	Eu pego dinheiro emprestado.	Tom pegou o meu carro emprestado.
