English Word	Portuguese Translation	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
accountant	contador	I'm a bookkeeper.	Tom is an accountant at our company	Eu sou um contador.	Tom é um contador em nossa empresa
accounting	contabilidade	Tom is from accounting.	I work in an accounting office	Tom é da contabilidade.	Trabalho num escritório de contabilidade
accurate	exato	I just got up.	If I'd told the doctor the truth, then the diagnosis would've been more accurate	Eu me levantei nesse exato momento.	Se eu tivesse dito a verdade ao médico, então o diagnóstico teria sido mais exato
accuse	acusar	Special counsel Robert Mueller reiterated on Wednesday that charging U.S. President Donald Trump with obstruction of justice was not an option his office could consider under Justice Department guidelines.	Special counsel Robert Mueller reiterated on Wednesday that charging U.S. President Donald Trump with obstruction of justice was not an option his office could consider under Justice Department guidelines.	O advogado especial Robert Mueller reiterou na quarta-feira que acusar o presidente dos Estados Unidos, Donald Trump, de obstrução à justiça não era uma opção que o seu gabinete pudesse considerar ao abrigo das diretrizes do Departamento de Justiça.	O advogado especial Robert Mueller reiterou na quarta-feira que acusar o presidente dos Estados Unidos, Donald Trump, de obstrução à justiça não era uma opção que o seu gabinete pudesse considerar ao abrigo das diretrizes do Departamento de Justiça
accustomed	acostumado	I'm used to it.	Tom projects all his insecurities onto people who look different from what he is used to.	Estou acostumado.	Tom projeta todas as suas inseguranças nas pessoas que parecem diferentes ao que ele está acostumado
achievable	alcançável				
acid	ácido	Lemon is sour.	According to authorities, two assailants on a moped tossed acid at a 32-year-old man and stole his moped before carrying out a number of other attacks over the course of 90 minutes Thursday night	O limão é ácido.	De acordo com as autoridades, dois agressores num ciclomotor atiraram ácido a um homem de 32 anos de idade e roubaram-lhe o ciclomotor antes de executarem uma série de outros ataques no decurso de 90 minutos na noite de quinta-feira
acidity	acidez	If the heartburn continues, take an antacid.	An epigram is a short, sharp saying in prose or verse, frequently characterized by acidity or acerbity and sometimes by wisdom	Se a acidez continuar, tome um antiácido.	O epigrama é um dito breve e agudo, em prosa ou verso, frequentemente caracterizado pela acidez ou acerbidade e às vezes pela sabedoria
acne	acne	Two weeks after being admitted to hospital my acne suddenly started to disappear.	Scientists were surprised to find the grapevines they studied harbored Propionibacterium acnes, a bacterium usually found on human skin and best known for causing acne	Duas semanas depois de ser aceito no hospital, minha acne subitamente começou a desaparecer.	Os cientistas ficaram surpreendidos ao descobrir que as videiras que eles examinaram albergavam a Propionibacterium acnes, uma bactéria geralmente encontrada na pele humana e mais conhecida por causar acne
Acrobat	Acrobata				
across	através	Tom moved through the crowd.	Filby became pensive. “Clearly,” the Time Traveller proceeded, “any real body must have extension in four directions: it must have Length, Breadth, Thickness, and—Duration. But through a natural infirmity of the flesh, which I will explain to you in a moment, we incline to overlook this fact. There are really four dimensions, three which we call the three planes of Space, and a fourth, Time. There is, however, a tendency to draw an unreal distinction between the former three dimensions and the latter, because it happens that our consciousness moves intermittently in one direction along the latter from the beginning to the end of our lives.”	Tom se moveu através da multidão.	 Mas através de uma enfermidade natural da carne, que explicarei a vocês num instante, inclinamo-nos a ignorar este facto
action	ação	It's an action film.	 One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface	É um filme de ação.	 Em certos planetas muito grandes e aquosos, por exemplo, descobrimos que a civilização tinha sido realizada por organismos marinhos
active	ativo	I was active.	The National Trust’s goal is not only to make certain that places like Music Row remain intact, but also to find a way to keep the sites in active use serving the surrounding community while also maintaining their identity and vitality	Eu estava ativo.	O objetivo do Fundo Nacional não é apenas garantir que locais como o Music Row permaneçam intactos, mas também encontrar uma forma de manter os locais em uso ativo ao serviço da comunidade envolvente, mantendo ao mesmo tempo a sua identidade e vitalidade
activist	ativista	Tom is an activist in his community.	When Abdullah Abdullah, head of the Afghan peace negotiation team, recently tweeted photos of his meeting with a group of Taliban leaders in Kabul, former parliamentarian and women's rights activist Fawzia Koofi did not miss the conspicuous absence of women	O Tom é um ativista na comunidade.	Quando Abdullah Abdullah, líder da equipa de negociações de paz no Afeganistão, tuitou recentemente fotos do seu encontro com um grupo de líderes talibãs em Cabul, a antiga deputada e ativista dos direitos das mulheres Fawzia Koofi não deixou escapar a notória ausência de mulheres
activity	atividade	Reading is a good activity.	Just as the inscriptions on the Rosetta Stone point to the activity of an ancient scribe and a computer program points to a programmer, I have argued that the digital code discovered within the DNA molecule suggests the activity of a designing mind at the origin of life	A leitura é uma boa atividade.	Assim como as inscrições na Pedra de Roseta apontam para a atividade de um antigo escriba e um programa de computador aponta para um programador, argumentei que o código digital descoberto dentro da molécula de DNA sugere a atividade de uma mente planejadora na origem da vida
actor	ator	I'm an actor.	The Wedding Date also features Amy Adams as Kat's self-centered sister; screen and stage veteran Holland Taylor is their iron-willed mother; and British actor Jeremy Sheffield plays the handsome cad of an ex-boyfriend	Sou ator.	Um Homem de Sonho também conta com Amy Adams no papel de irmã egocêntrica de Kat; a veterana do cinema e palco Holland Taylor é a sua mãe obstinada; e o ator britânico Jeremy Sheffield encarna um ex-namorado refinado e conquistador
actress	atriz	She became an actress.	Anyone who has seen Kristen Bell break down in (happy) hysterics over a sloth knows the actress's affinity for animals, especially those of the cute and cuddly variety	Ela se tornou atriz.	Qualquer pessoa que tenha visto a Kristen Bell a entrar em histeria (feliz) por causa de uma preguiça conhece a afinidade da atriz pelos animais, especialmente os da variedade fofa e meiga
acupuncture	acupuntura	Many people believe acupuncture can cure diseases.	Acupuncture is a form of alternative medicine that's popular in East Asia.	Muita gente crê que a acupuntura pode curar as doenças.	A acupuntura é uma forma de medicina alternativa que é popular no leste da Ásia
add	adicionar	Let me add water.	Humans are adding carbon dioxide to the atmosphere at a rate far greater than it is removed by natural processes, creating a long-lived reservoir of the gas in the atmosphere and oceans that is driving the climate to a warmer and warmer state	Deixe-me adicionar água.	Os seres humanos estão a adicionar dióxido de carbono à atmosfera a um ritmo muito superior ao da sua remoção por processos naturais, criando um reservatório de longa duração do gás na atmosfera e nos oceanos que está a induzir o clima a um estado cada vez mais quente
addict	viciado	I'm addicted.	I'm addicted to translating sentences from French into English on Tatoeba, and Spanish is tempting me sorely	Estou viciado.	Eu sou viciado em traduzir frases do francês para o inglês no Tatoeba, e o espanhol me tenta extremamente
addiction	vício	It's a vice.	Poverty is not a vice, that's a true saying. Yet I know too that drunkenness is not a virtue, and that that's even truer. But beggary, honoured sir, beggary is a vice.	É um vício.	Pobreza não é vício, isso é uma verdade
address	Morada				
adjective	adjetivo	This is an adjective.	An adverb is a word that modifies a verb, an adjective, or sometimes another adverb	Isto é um adjetivo.	Um advérbio é uma palavra que modifica um verbo, um adjetivo e às vezes outro advérbio
administration	administração	The administration makes important decisions.	Tal Prihar, 37, an Israeli citizen living in Brazil, and Michael Phan, 34, who lives in Israel, were indicted by a federal grand jury in Western Pennsylvania with money laundering in connection with operating DeepDotWeb, a website that served as a gateway to the Darkweb, the internet's dark underbelly where users can purchase and exchange illegal products.	A administração toma decisões importantes.	Tal Prihar, de 37 anos, cidadão israelita residente no Brasil, e Michael Phan, de 34 anos, que vive em Israel, foram indiciados por um grande júri federal na Pensilvânia Ocidental por branqueamento de capitais decorrente da administração do DeepDotWeb, um site que servia de ponto de entrada para a Darkweb, o obscuro submundo da internet onde os utilizadores podem comprar e negociar produtos ilegais
administration	administração	The administration makes important decisions.	Tal Prihar, 37, an Israeli citizen living in Brazil, and Michael Phan, 34, who lives in Israel, were indicted by a federal grand jury in Western Pennsylvania with money laundering in connection with operating DeepDotWeb, a website that served as a gateway to the Darkweb, the internet's dark underbelly where users can purchase and exchange illegal products.	A administração toma decisões importantes.	Tal Prihar, de 37 anos, cidadão israelita residente no Brasil, e Michael Phan, de 34 anos, que vive em Israel, foram indiciados por um grande júri federal na Pensilvânia Ocidental por branqueamento de capitais decorrente da administração do DeepDotWeb, um site que servia de ponto de entrada para a Darkweb, o obscuro submundo da internet onde os utilizadores podem comprar e negociar produtos ilegais
administrative	administrativo				
admire	admirar	Remember to admire her new dress.	Visitors can use a newly constructed wooden walkway to admire the tunnels and chambers under the arena that were used by wild animals and human performers before they joined the action in front of large audiences	Lembre-se de admirar o novo vestido dela.	Os visitantes podem utilizar um passadiço de madeira recentemente construído para admirar os túneis e câmaras sob a arena que foram utilizados por animais selvagens e artistas humanos antes de se juntarem à acção diante de grandes plateias
adolescence	adolescência	Teenage mistakes last a lifetime.	How long adolescence continues is determined by biological factors	Os excessos cometidos na adolescência deixam marcas para a vida.	O quanto dura a adolescência é determinado por fatores biológicos
adolescence	adolescência	Teenage mistakes last a lifetime.	How long adolescence continues is determined by biological factors	Os excessos cometidos na adolescência deixam marcas para a vida.	O quanto dura a adolescência é determinado por fatores biológicos
adorable	adorável	He's adorable.	Well, my stepmother is neither cruel nor lovable. But she can never take the place of my mother.	Ele é adorável.	Bem, minha madrasta não é cruel nem adorável
adult	adulto	I'm grown-up.	The child who, say, from five to eight years old, can learn the game of chess will find it much easier than an adult to master the complexities of this game-science-art	Sou adulto.	A criança que por volta, digamos, dos cinco aos oito anos de idade puder aprender o jogo do xadrez terá muito mais facilidade que um adulto em dominar as complexidades desse jogo-ciência-arte
advantage	vantagem	That would be a plus.	 Whoever has a strong center will always have an advantage in carrying out both attack and defense operations	Isso seria uma vantagem.	 Quem contar com um centro forte, terá sempre vantagem na realização de operações tanto de ataque como de defesa
advantageous	vantajoso	In this case, it is more advantageous to buy in cash.	Apparently, in some toad species, to have a protuberance on their backs was more advantageous than to have a smooth back	Neste caso, é mais vantajoso comprar à vista.	Aparentemente, em algumas espécies de sapos, ter uma protuberância no dorso era mais vantajoso do que ter um dorso liso
Adverb	Advérbio				
advertising	publicidade	Advertising is everywhere.	Only the assumption that the reader - I better say: the prospective reader, because for the moment there is not the slightest prospect, that my writing could see the lights of publicity, - unless it miraculously left our endangered fortress Europe and brought a hint of the secrets of our loneliness to those outside; - I beg to be allowed to begin anew: only because I anticipate the wish to be told casually about the who and what of the writer, I send some few notes on my own individuum out before these openings, - of course not without the awareness that exactly by doing so I might provoke doubts in the reader, that he is in the right hands, which is to say: if I, from all my being, am the right man for a task to which maybe the heart pulls me more than any qualifying relation in character.	A publicidade está em toda a parte.	Somente o pressuposto de que o leitor - ou melhor dizendo, o provável leitor, porque até o momento não há a menor perspectiva dos meus textos verem a luz da publicidade - a menos que miraculosamente deixassem a nossa ameaçada fortaleza Europa e levassem um sinal dos segredos da nossa solidão àqueles lá fora; - rogo que me permitam recomeçar: somente porque antecipo o desejo de serem informados casualmente sobre o quem e o quê do autor, envio algumas poucas notas a respeito de meu próprio indivíduo antes destas aberturas - claro, não sem a consciência de que exatamente ao fazê-lo posso provocar dúvidas no leitor, de que está nas mãos corretas, ou seja: se eu, em todo meu ser, sou o homem correto para um trabalho ao qual talvez o coração me atraia mais do que qualquer relação qualificante em caráter
advice	adendo				
aerodrome	aeródromo				
aerodrome	aeródromo				
aerosol	aerossol				
aerospace	aeroespacial				
aerospatial	aeroespacial				
affect	afetar	Don't let it affect you.	The impacts from sea level rise and storm surge, extreme weather events, higher temperatures and heat waves, precipitation changes, Arctic warming, and other climatic conditions are affecting the reliability and capacity of the U	Não deixe isso te afetar.	Os impactos da subida do nível do mar e do aumento do número de tempestades, eventos climáticos extremos, temperaturas mais elevadas e ondas de calor, mudanças na precipitação, aquecimento do Ártico e outras condições climáticas estão a afetar a fiabilidade e a capacidade do sistema de transportes dos EUA de muitas maneiras
affectionately	carinhosamente				
afghan	afegão	Ahmed is an Afghan citizen.	U.S. and NATO military commanders in Afghanistan are reportedly developing plans to deploy a NATO military force in Afghanistan this year designed to assume a training mission in 2015, but small and nimble enough to be withdrawn if the Afghan government does not sign a Bilateral Security Agreement (BSA) that lays out conditions for NATO’s continued security presence in the country.	Ahmed é um cidadão afegão.	Os comandantes militares dos EUA e da OTAN no Afeganistão estão aparentemente a desenvolver planos para destacar uma força militar da OTAN para o Afeganistão este ano, concebida para assumir uma missão de treino em 2015, mas suficientemente pequena e dinâmica para ser retirada se o governo afegão não assinar um Acordo Bilateral de Segurança (ABS) que estabeleça os termos para a presença continuada da OTAN no país no domínio da segurança
Afghanistan	Afeganistão	Afghanistan is at war.	 and NATO military commanders in Afghanistan are reportedly developing plans to deploy a NATO military force in Afghanistan this year designed to assume a training mission in 2015, but small and nimble enough to be withdrawn if the Afghan government does not sign a Bilateral Security Agreement (BSA) that lays out conditions for NATO’s continued security presence in the country	O Afeganistão está em guerra.	Os comandantes militares dos EUA e da OTAN no Afeganistão estão aparentemente a desenvolver planos para destacar uma força militar da OTAN para o Afeganistão este ano, concebida para assumir uma missão de treino em 2015, mas suficientemente pequena e dinâmica para ser retirada se o governo afegão não assinar um Acordo Bilateral de Segurança (ABS) que estabeleça os termos para a presença continuada da OTAN no país no domínio da segurança
afraid	com medo				
Africa	África	He was born in Africa.	Yet, despite relatively high attendance at clinics for expectant mothers and their newborns throughout sub-Saharan Africa, statistics show that just a little over 21 percent of women are receiving intermittent preventive treatment in pregnancy, or IPT, and fewer than 40 percent of them are being given protective bed nets	Ele nasceu na África.	No entanto, apesar das taxas relativamente elevadas de comparecimento em clínicas para grávidas e seus recém-nascidos em toda a África subsaariana, as estatísticas mostram que pouco mais de 21% das mulheres estão a receber tratamento preventivo intermitente durante a gravidez, ou TPI, e menos de 40% delas estão a receber mosquiteiros protetores
after	depois	Read after me.	 Human beings, on the contrary, have souls which live forever, even after the body has been turned to dust	Leia depois de mim.	 Os seres humanos, ao contrário, têm almas que vivem para sempre, mesmo depois que o corpo se transforma em pó
after	depois	Read after me.	 Human beings, on the contrary, have souls which live forever, even after the body has been turned to dust	Leia depois de mim.	 Os seres humanos, ao contrário, têm almas que vivem para sempre, mesmo depois que o corpo se transforma em pó
after	depois	Read after me.	 Human beings, on the contrary, have souls which live forever, even after the body has been turned to dust	Leia depois de mim.	 Os seres humanos, ao contrário, têm almas que vivem para sempre, mesmo depois que o corpo se transforma em pó
after	depois	Read after me.	 Human beings, on the contrary, have souls which live forever, even after the body has been turned to dust	Leia depois de mim.	 Os seres humanos, ao contrário, têm almas que vivem para sempre, mesmo depois que o corpo se transforma em pó
Afternoon	Tarde	Too late.	Too late!	Tarde demais.	Tarde demais!
again	novamente	Try again.	 In the morning when they led their flocks to pasture, and again in the evening ere they started home, they paid worship to the Deities, and presented either a flower, a green bough, some fruit, or a libation of milk, as an offering; and this piety, as we shall see presently, had its reward	Tente novamente.	 De manhã, quando levavam os seus rebanhos a pastar, e novamente à noite, antes de regressarem a casa, eles prestavam culto às Deidades e apresentavam ou uma flor, um ramo verdejante, alguma fruta, ou uma libação de leite, como oferenda; e esta piedade, como veremos agora, teve a sua recompensa
again	novamente	Try again.	 In the morning when they led their flocks to pasture, and again in the evening ere they started home, they paid worship to the Deities, and presented either a flower, a green bough, some fruit, or a libation of milk, as an offering; and this piety, as we shall see presently, had its reward	Tente novamente.	 De manhã, quando levavam os seus rebanhos a pastar, e novamente à noite, antes de regressarem a casa, eles prestavam culto às Deidades e apresentavam ou uma flor, um ramo verdejante, alguma fruta, ou uma libação de leite, como oferenda; e esta piedade, como veremos agora, teve a sua recompensa
age	era	Was he Tom?	In general the physical and mental form of conscious beings is an expression of the character of the planet on which they live. On certain very large and aqueous planets, for instance, we found that civilization had been achieved by marine organisms. On these huge globes no land-dwellers as large as a man could possibly thrive, for gravitation would have nailed them to the ground. But in the water there was no such limitation to bulk. One peculiarity of these big worlds was that, owing to the crushing action of gravitation, there were seldom any great elevations and depressions in their surface. Thus they were usually covered by a shallow ocean, broken here and there by archipelagos of small, low islands.	Aquele era Tom?	Em geral, o perfil físico e mental dos seres conscientes é uma expressão do carácter do planeta em que vivem
aggression	agressão	Layla remembers absolutely nothing of the assault.	We use miscellaneous methods such as discussion, threats and physical injury.	Leila não lembra absolutamente nada da agressão.	Nós usamos diversos métodos, tais como discussão, ameaças e agressão física
aggressive	agressivo	Tom is pushy.	While Nigerian President Goodluck Jonathan has an aggressively-styled campaign with the word “Forward” printed on election posters and in the header of his Twitter account, the Twitter profile of his opponent, Muhammadu Buhari, is more subdued	Tom é agressivo.	Ao passo que o presidente nigeriano Goodluck Jonathan tem uma campanha de estilo agressivo com a palavra «Avante» impressa em cartazes eleitorais e no cabeçalho da sua conta no Twitter, o perfil no Twitter do seu adversário, Muhammadu Buhari, é mais moderado
Aggressiveness	Agressividade				
agile	ágil	I need to be more agile.	A heavy heart bears not a nimble tongue.	Eu preciso ser mais ágil.	A um coração pesado não corresponde uma língua ágil
Agitated	Agitado				
agitation	agitação	The government is taking steps to quell voter unrest over surging inflation.	In the cities nothing is more surprising to a foreigner than to go from the dust and turmoil of a busy street directly into a rustic yard and the felicity of quiet country life. On one of the busy streets of Tokio I had often passed a low shop, the barred front of which was never opened to traffic, nor was there ever any one present with whom to deal. I used often to peer between the bars; and from the form of the wooden boxes on the step-like shelves within, I knew that the occupant was a dealer in old pottery.	O governo está a tomar medidas para acalmar a agitação dos eleitores face à inflação acentuada.	Nas cidades, nada é mais surpreendente para um estrangeiro do que passar da poeira e da agitação de uma rua movimentada directamente para um quintal rústico e a felicidade de uma vida campestre tranquila
ago	atrás	She's after me.	What began 21 months ago in the depths of winter cannot end on this autumn night	Ela está atrás de mim.	O que começou 21 meses atrás em pleno inverno não pode terminar nesta noite de outono
agreement	acordo	I agree.	""" Two weeks later, after no agreement could be reached, the violence began"	Estou de acordo.	""" ""Bem, de que outra forma sou suposto conseguir que te vistas de banana? Recusaste a estar aberto a negociações!"" "" Sabes que temos duas semanas para chegar a acordo sobre um orçamento adequado"
agriculture	agricultura	Tom works in agriculture.	Now in his late 60s, one of American agriculture's notable contrarians is more rumpled and thicker in the waist than he was as a Kansas farmboy, coasting through what he calls one of the most misspent youths in the history of the planet	Tom trabalha com agricultura.	Agora com 60 e muitos anos, um dos contrariadores mais notáveis dentro da agricultura americana está mais enrugado e mais grosso na cintura do que quando ele era um ajudante de fazenda no Kansas, a viver por inércia aquilo a que ele chama uma das juventudes mais mal-aproveitadas da História do planeta
air	ar	I need air.	When Rhodopis was bathing, an eagle snatched one of her sandals from her maid and carried it to Memphis; and while the king was administering justice in the open air, the eagle, when it arrived above his head, flung the sandal into his lap; and the king, stirred both by the beautiful shape of the sandal and by the strangeness of the occurrence, sent men in all directions into the country in quest of the woman who wore the sandal; and when she was found in the city of Naucratis, she was brought up to Memphis, became the wife of the king, and when she died was honoured with a great tomb	Eu preciso de ar.	Quando a Rodópis estava a tomar banho, uma águia roubou uma das suas sandálias à sua criada e levou-a para Mênfis; e enquanto o rei estava a administrar justiça ao ar livre, a águia, quando se aproximou acima da sua cabeça, lançou a sandália para o seu colo; e o rei, incitado tanto pela bela forma da sandália como pela estranheza da ocorrência, enviou homens em todas as direções pelo país em busca da mulher que usava a sandália; e quando ela foi encontrada na cidade de Náucratis, ela foi trazida para Mênfis, tornou-se na esposa do rei, e quando morreu foi honrada com um grande túmulo
air	ar	I need air.	When Rhodopis was bathing, an eagle snatched one of her sandals from her maid and carried it to Memphis; and while the king was administering justice in the open air, the eagle, when it arrived above his head, flung the sandal into his lap; and the king, stirred both by the beautiful shape of the sandal and by the strangeness of the occurrence, sent men in all directions into the country in quest of the woman who wore the sandal; and when she was found in the city of Naucratis, she was brought up to Memphis, became the wife of the king, and when she died was honoured with a great tomb	Eu preciso de ar.	Quando a Rodópis estava a tomar banho, uma águia roubou uma das suas sandálias à sua criada e levou-a para Mênfis; e enquanto o rei estava a administrar justiça ao ar livre, a águia, quando se aproximou acima da sua cabeça, lançou a sandália para o seu colo; e o rei, incitado tanto pela bela forma da sandália como pela estranheza da ocorrência, enviou homens em todas as direções pelo país em busca da mulher que usava a sandália; e quando ela foi encontrada na cidade de Náucratis, ela foi trazida para Mênfis, tornou-se na esposa do rei, e quando morreu foi honrada com um grande túmulo
